"pmid","author","last_author","doi","publication_date"
"19889755","Arrigo NC","Weaver SC","10.1128/JVI.01586-09","2009/11/06 06:00"
"22397938","Malirat V","Ortiz S","10.1016/j.vetmic.2012.02.009","2012/02/06 00:00"
"21689697","Goñi SE","Tenorio A","10.1016/j.virusres.2011.06.004","2011/06/02 00:00"
"21830071","Pauszek SJ","Rodriguez LL","10.1007/s00705-011-1081-1","2011/07/21 00:00"
"25991544","Tauro LB","Contigiani MS","10.1111/mve.12121","2015/01/13 00:00"
"28726602","Groseth A","Ebihara H","10.3201/eid2308.161254","2017/07/21 06:00"
"24523463","Susta L","Afonso CL","10.1128/JCM.00066-14","2014/02/14 06:00"
"21782355","Serena MS","Echeverría MG","10.1016/j.vetmic.2011.06.028","2011/06/14 00:00"
"22274825","Fuentealba NA","Galosi CM","10.1590/S0325-75412011000400007","2011/11/11 00:00"
"33647063","Kapuscinski ML","Stenglein MD","10.1371/journal.ppat.1009315","2021/01/13 00:00"
"26593963","Lei H","Lo SC","10.1038/srep16706","2015/10/19 00:00"
"24833218","Pisano MB","Contigiani MS","10.1016/j.meegid.2014.05.011","2014/04/29 00:00"
"19403754","Logue CH","Olson KE","10.1099/vir.0.008656-0","2009/05/01 09:00"
"23161398","Barril P","Nates S","10.1002/jmv.23462","2012/11/20 06:00"
"24187014","Ludi AB","Hammond JM","10.1099/vir.0.057521-0","2013/11/05 06:00"
"25414487","Nunes MR","Vasconcelos PF","10.1128/genomeA.00940-14","2014/11/22 06:00"
"21665386","Ladelfa MF","Calamante G","10.1016/j.vetmic.2011.05.037","2011/05/10 00:00"
"18397506","Valarcher JF","Knowles NJ","10.1111/j.1865-1682.2007.01010.x","2008/06/27 09:00"
"34915090","Romera SA","Maidana SS","10.1016/j.virusres.2021.198656","2021/12/01 00:00"
"32013802","Maidana SS","Romera SA","10.1177/1040638719898692","2020/02/06 06:00"
"22158846","Dehghan S","Seto D","10.1128/JVI.06593-11","2011/12/14 06:00"
"33526282","Xu W","Yang M","10.1016/j.vaccine.2021.01.042","2021/01/12 00:00"
"23631926","Serena MS","Echeverría MG","10.1016/j.pep.2013.04.008","2013/04/21 00:00"
