genome_id,genome_name,other_names,taxon_id,taxon_lineage_ids,taxon_lineage_names,superkingdom,kingdom,phylum,class,order,family,genus,species,genome_status,strain,serovar,biovar,pathovar,mlst,segment,subtype,h_type,n_type,h1_clade_global,h1_clade_us,h5_clade,ph1n1_like,lineage,clade,subclade,other_typing,culture_collection,type_strain,reference_genome,genome_quality,completion_date,publication,authors,bioproject_accession,biosample_accession,assembly_accession,sra_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosome,plasmids,contigs,genome_length,gc_content,contig_l50,contig_n50,trna,rrna,mat_peptide,cds,coarse_consistency,fine_consistency,checkm_contamination,checkm_completeness,genome_quality_flags,isolation_source,isolation_comments,collection_date,collection_year,season,isolation_country,geographic_group,geographic_location,other_environmental,host_name,host_common_name,host_gender,host_age,host_health,host_group,lab_host,passage,other_clinical,additional_metadata,comments,date_inserted,date_modified
12083.154,Human poliovirus 2 VEN59,NA,12083,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138950;12083,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus C;Poliovirus 2,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,Enterovirus C,Partial,VEN59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-08-17T00:00:00Z,NA,NA,NA,NA,NA,NA,KR817063,NA,NA,Illumina; Sanger dideoxy sequencing,NA,Geneious v. 7,NA,NA,1,2637,48.615852,1,2637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1959,1959,NA,Venezuela,South America,Venezuela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-13T16:52:38.764Z,2021-01-13T16:52:38.764Z
11036.543,Venezuelan equine encephalitis virus VEEV/Homo sapiens/VEN/PHO127/1962/IC,NA,11036,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11036,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Venezuelan equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Complete,VEEV/Homo sapiens/VEN/PHO127/1962/IC,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-02-17T00:00:00Z,NA,NA,PRJNA157941,NA,NA,NA,KC344528,NA,NA,Illumina; 454,336.9x,clc_ref_assemble_long v. 3.20.50819,NA,NA,1,11417,50.14452,1,11417,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1962,1962,NA,Venezuela,South America,Venezuela: Zulia St.,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2021-10-13T03:53:31.248Z,2021-10-13T03:53:31.248Z
12111.1394,Foot-and-mouth disease virus - type A A18/Zulia/Ven/62,NA,12111,10239;2559587;2732396;2732408;2732506;464095;12058;2946627;12109;12110;12111,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Caphthovirinae;Aphthovirus;Foot-and-mouth disease virus;Foot-and-mouth disease virus A,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Aphthovirus,Foot-and-mouth disease virus,Partial,A18/Zulia/Ven/62,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-05-31T00:00:00Z,22397938,NA,,NA,NA,NA,JQ082958,NA,NA,,,,NA,NA,1,636,55.345913,1,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,1962,NA,Venezuela,South America,Venezuela,NA,,,NA,NA,NA,,NA,NA,NA,NA,NA,2021-01-14T18:40:38.292Z,2021-01-14T18:40:38.292Z
11036.332,Venezuelan equine encephalitis virus E1/68,NA,11036,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11036,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Venezuelan equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Complete,E1/68,Not Applicable,NA,Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genotype:Not Applicable,NA,NA,NA,NA,2017-03-25T00:00:00Z,NA,NA,PRJNA257008,SAMN04076104,NA,NA,KU059754,MRIGlobal,NA,Illumina HiSeq1500,7750.22x,Trimmomatic v. 0.32; SGA v. 0.10.13;,NA,NA,1,11518,49.609306,1,11518,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1968-10-27,1968,NA,Venezuela,South America,Venezuela:Guarija,NA,Homo sapiens,Human,NA,NA,Venezuelan Equine Encephalitis,Human,NA,"SM+1, CEC+1, V+2",NA,lab_host:Vero cells,"The purpose of this BioProject is to prepare high quality genome sequences of various human, animal, and plant pathogens that will support microbial forensics, biosurveillance and public health",2021-01-18T07:47:08.345Z,2021-01-18T07:47:08.345Z
11036.333,Venezuelan equine encephalitis virus E123/69,NA,11036,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11036,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Venezuelan equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Complete,E123/69,Not Applicable,NA,Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genotype:Not Applicable,NA,NA,NA,NA,2017-03-25T00:00:00Z,NA,NA,PRJNA257008,SAMN04017545,NA,NA,KU059755,MRIGlobal,NA,Illumina HiSeq1500,7649.14x,Trimmomatic v. 0.32; SGA v. 0.10.13;,NA,NA,1,11512,49.522236,1,11512,NA,NA,NA,2,NA,NA,NA,NA,NA,Not Applicable,NA,1969-10-20,1969,NA,Venezuela,South America,Venezuela:Mara,NA,Homo sapiens,Human,NA,NA,Venezuelan Equine Encephalitis,Human,NA,"SM+1, CEC+1, V+2",NA,lab_host:Vero cells,"The purpose of this BioProject is to prepare high quality genome sequences of various human, animal, and plant pathogens that will support microbial forensics, biosurveillance and public health",2021-01-18T07:47:10.148Z,2021-01-18T07:47:10.148Z
12111.748,Foot-and-mouth disease virus - type A A32/VEN/1/70,NA,12111,10239;2559587;2732396;2732408;2732506;464095;12058;2946627;12109;12110;12111,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Caphthovirinae;Aphthovirus;Foot-and-mouth disease virus;Foot-and-mouth disease virus A,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Aphthovirus,Foot-and-mouth disease virus,Partial,A32/VEN/1/70,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-26T00:00:00Z,18397506,NA,NA,NA,NA,NA,EU553882,NA,NA,NA,NA,NA,NA,NA,1,639,55.242565,1,639,NA,NA,NA,NA,NA,NA,NA,NA,NA,cell-culture supernatants,NA,1970,1970,NA,Venezuela,South America,Venezuela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-14T06:39:53.870Z,2021-01-14T06:39:53.870Z
12111.1401,Foot-and-mouth disease virus - type A A32/Venezuela/70,NA,12111,10239;2559587;2732396;2732408;2732506;464095;12058;2946627;12109;12110;12111,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Caphthovirinae;Aphthovirus;Foot-and-mouth disease virus;Foot-and-mouth disease virus A,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Aphthovirus,Foot-and-mouth disease virus,Partial,A32/Venezuela/70,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-05-31T00:00:00Z,22397938,NA,NA,NA,NA,NA,JQ082965,NA,NA,NA,NA,NA,NA,NA,1,639,55.242565,1,639,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1970,1970,NA,Venezuela,South America,Venezuela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-14T18:42:41.412Z,2021-01-14T18:42:41.412Z
11036.433,Venezuelan equine encephalitis virus E541/73,NA,11036,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11036,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Venezuelan equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Complete,E541/73,Not applicable,NA,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genotype:Not applicable,NA,NA,NA,NA,2017-03-25T00:00:00Z,NA,NA,PRJNA257008,SAMN04260146,NA,NA,KU978806,MRIGlobal,NA,Illumina HiSeq1500,7755.92x,Trimmomatic v. 0.32; SGA v. 0.10.13;,NA,NA,1,11504,49.53929,1,11504,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1973-10-26,1973,NA,Venezuela,South America,Venezuela: Guarija,NA,Homo sapiens,Human,NA,NA,Venezuelan Equine Encephalitis,Human,NA,NA,NA,lab_host:Vero cells,"The purpose of this BioProject is to prepare high quality genome sequences of various human, animal, and plant pathogens that will support microbial forensics, biosurveillance and public health",2021-01-18T08:48:49.660Z,2021-01-18T08:48:49.660Z
11036.36,Venezuelan equine encephalitis virus VEEV/Mosquito/VEN/204381/1973/ID,NA,11036,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11036,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Venezuelan equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Complete,VEEV/Mosquito/VEN/204381/1973/ID,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,2013-02-17T00:00:00Z,NA,NA,PRJNA157941,,NA,NA,KC344512,J. Craig Venter Institute,NA,Illumina; 454,256.4x,clc_ref_assemble_long v. 3.20.50819,NA,NA,1,11417,50.16204,1,11417,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1973,1973,NA,Venezuela,South America,Venezuela: Delta Amacuso,NA,mosquito,Mosquito,NA,NA,,Insect,NA,NA,NA,,"Venezuelan equine encephalitis virus (VEEV; Togaviridae: Alphavirus) is the most important emerging alphavirus pathogen of the Americas. This arbovirus is responsible for massive outbreaks involving hundreds-of-thousands of humans, equids and other domestic animals. Additionally, VEEV is currently classified as a select agent on the NIAID category B list of priority pathogens and also is being developed as a vaccine vector. The purpose of this project is to determine the complete genomes of VEEV strains with spatial and temporal representation selected from the World Reference Center for Emerging Viruses and Arboviruses (WRCEVA) collection and other resources. The VEEV genomes generated in this project will vastly increase the number of complete VEEV genomes available in NCBI, allowing for public health and basic science research in the fields of VEEV replication, pathogenesis, virulence, evolution and epidemiology.",2021-01-18T04:05:54.989Z,2021-01-18T04:05:54.989Z
11021.244,Eastern equine encephalitis virus Pan204381,NA,11021,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11021,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Eastern equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Eastern equine encephalitis virus,Partial,Pan204381,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,2015-07-14T00:00:00Z,25940191,NA,,,NA,NA,KF770746,,NA,,,,NA,NA,1,953,49.317944,1,953,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1973,1973,NA,Venezuela,South America,Venezuela,NA,mosquito,Mosquito,NA,NA,,Insect,NA,NA,NA,,,2021-01-18T04:38:54.067Z,2021-01-18T04:38:54.067Z
