genome_id,genome_name,other_names,taxon_id,taxon_lineage_ids,taxon_lineage_names,superkingdom,kingdom,phylum,class,order,family,genus,species,genome_status,strain,serovar,biovar,pathovar,mlst,segment,subtype,h_type,n_type,h1_clade_global,h1_clade_us,h5_clade,ph1n1_like,lineage,clade,subclade,other_typing,culture_collection,type_strain,reference_genome,genome_quality,completion_date,publication,authors,bioproject_accession,biosample_accession,assembly_accession,sra_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosome,plasmids,contigs,genome_length,gc_content,contig_l50,contig_n50,trna,rrna,mat_peptide,cds,coarse_consistency,fine_consistency,checkm_contamination,checkm_completeness,genome_quality_flags,isolation_source,isolation_comments,collection_date,collection_year,season,isolation_country,geographic_group,geographic_location,other_environmental,host_name,host_common_name,host_gender,host_age,host_health,host_group,lab_host,passage,other_clinical,additional_metadata,comments,date_inserted,date_modified
10497.927,African swine fever virus,NA,10497,10239;2732004;2732005;2732007;2732525;2732526;137992;39743;10497,Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Asfuvirales;Asfarviridae;Asfivirus;African swine fever virus,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,Asfarviridae,Asfivirus,African swine fever virus,Partial,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-11-17T00:00:00Z,19009341,NA,,NA,NA,NA,FJ238534,,NA,,,,NA,NA,1,553,46.112114,1,553,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1978,1978,NA,Dominican Republic,North America,Dominican Republic,NA,domestic pig,Pig,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,,2020-12-25T00:03:28.466Z,2020-12-25T00:03:28.466Z
10497.1802,African swine fever virus DOM REP,NA,10497,10239;2732004;2732005;2732007;2732525;2732526;137992;39743;10497,Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Asfuvirales;Asfarviridae;Asfivirus;African swine fever virus,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,Asfarviridae,Asfivirus,African swine fever virus,Partial,DOM REP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-05T00:00:00Z,NA,NA,,NA,NA,NA,KC867510,,NA,,,,NA,NA,1,561,44.919785,1,561,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1978,1978,NA,Dominican Republic,North America,Dominican Republic,NA,pig,Pig,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,,2020-12-25T02:26:11.918Z,2020-12-25T02:26:11.918Z
11021.321,Eastern equine encephalitis virus EEEV/X/DOM/R23541/1978,NA,11021,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11021,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Eastern equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Eastern equine encephalitis virus,Complete,EEEV/X/DOM/R23541/1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-17T00:00:00Z,NA,NA,PRJNA183000,NA,NA,NA,KJ469636,J Craig Venter Institute,NA,Illumina,198.2x,clc_ref_assemble_long v. 3.22.55705,NA,NA,1,11704,48.479153,1,11704,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1978,1978,NA,Dominican Republic,North America,Dominican Republic,NA,,,NA,NA,NA,,NA,NA,NA,NA,"Eastern equine encephalitis virus (EEEV) and Madariaga virus (MADV) are mosquito-borne alphaviruses (family,Togaviridae) of significant public and veterinary health importance throughout North, Central and South America. It has a single-stranded positive sense RNA genome of about 11,700 nt in length. EEEV causes a very debilitating disease in humans with case-fatality rates ranging between 50 and 75%, and for equids, rates can achieve as high as 80%. Despite hundreds of isolations and the significant public and veterinary health problem this virus poses, the majority of EEEV genetic studies primarily involved only partial gene sequences of the structural or non-structural genes. Only 10 complete genomes have been determined and deposited on GenBank to date and comparative genomics studies cannot be performed thoroughly. The proposed project aims to fill this gap in sequence data by elucidating the complete genomes for 100 EEEV strains that represent the entire geographic and temporal distribution of EEEV since its first isolation in the new world in 1933. The resultant genetic data generated in this study would allow researchers to: a) Characterize EEEV genetic diversity and describe its molecular epidemiology; b) Identify genetic determinants of EEEV emergence and virulence; c) Infer the demographic history and evolutionary dynamics of EEEV; d) Infer the evolution of virulence and pathogenesis throughout EEEV’s transmission history; e) Improve the ability to derive attenuated EEEV stains for vaccine development; f) generate infectious cDNA clones; g) Identify genetic factors underlying phenotypic differences among EEEV strains in the New World.",2021-01-18T05:17:59.560Z,2021-01-18T05:17:59.560Z
10497.7893,African swine fever virus DR/1979,NA,10497,10239;2732004;2732005;2732007;2732525;2732526;137992;39743;10497,Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Asfuvirales;Asfarviridae;Asfivirus;African swine fever virus,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,Asfarviridae,Asfivirus,African swine fever virus,Complete,DR/1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-07-10T00:00:00Z,NA,NA,NA,NA,NA,NA,ON185726,NA,NA,Illumina; Oxford Nanopore Technologies,NA,CLC Genomics Workbench v. 21.0.4,NA,NA,1,183681,38.549442,1,183681,NA,NA,NA,165,NA,NA,NA,NA,NA,NA,NA,1979,1979,NA,Dominican Republic,North America,Dominican Republic,NA,Sus scrofa,Pig,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2022-07-28T08:12:36.543Z,2022-07-28T08:12:36.543Z
2560319.1374,Avian orthoavulavirus 1 chicken/DominicanRepublic/28138-4/1986,NA,2560319,10239;2559587;2732396;2497569;2497570;2497574;11157;11158;2560069;2560194;2560319,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Avulavirinae;Orthoavulavirus;Avian orthoavulavirus 1,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Orthoavulavirus,Avian orthoavulavirus 1,Partial,chicken/DominicanRepublic/28138-4/1986,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-10T00:00:00Z,23196361,NA,NA,NA,NA,NA,JX915242,NA,NA,NA,NA,NA,NA,NA,1,1988,45.262096,1,1988,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1986,1986,NA,Dominican Republic,North America,Dominican Republic,NA,Chicken,Chicken,NA,NA,NA,Avian,NA,NA,NA,NA,NA,2022-05-01T15:39:04.996Z,2022-05-01T15:39:04.996Z
11070.447,Dengue virus 4,NA,11070,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11070,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;Dengue virus type 4,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Partial,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-25T00:00:00Z,NA,NA,NA,NA,NA,NA,JF804053,NA,NA,NA,NA,NA,NA,NA,1,1485,46.329967,1,1485,NA,NA,NA,NA,NA,NA,NA,NA,NA,serum,NA,1997,1997,NA,Dominican Republic,North America,Dominican Republic,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2020-12-29T09:29:11.289Z,2020-12-29T09:29:11.289Z
11069.2434,Dengue virus 3 1794F02,NA,11069,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11069,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;Dengue virus type 3,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Partial,1794F02,DENV-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-24T00:00:00Z,NA,NA,NA,NA,NA,NA,FJ502952,NA,NA,NA,NA,NA,NA,NA,1,220,42.272728,1,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,2002,NA,Dominican Republic,North America,Dominican Republic,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2021-01-19T06:04:33.862Z,2021-01-19T06:04:33.862Z
11060.2132,Dengue virus 2,NA,11060,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11060,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;Dengue virus type 2,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Partial,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-25T00:00:00Z,NA,NA,,NA,NA,NA,JF804031,,NA,NA,NA,NA,NA,NA,1,1485,45.521885,1,1485,NA,NA,NA,NA,NA,NA,NA,NA,NA,serum,NA,2003,2003,NA,Dominican Republic,North America,Dominican Republic,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,,2020-12-29T09:25:02.164Z,2020-12-29T09:25:02.164Z
11060.2997,Dengue virus 2 CNM387VI03,NA,11060,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11060,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;Dengue virus type 2,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Partial,CNM387VI03,DENV-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-24T00:00:00Z,NA,NA,,NA,NA,NA,FJ502908,,NA,NA,NA,NA,NA,NA,1,219,47.031963,1,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2003,2003,NA,Dominican Republic,North America,Dominican Republic,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,,2021-01-19T06:00:22.093Z,2021-01-19T06:00:22.093Z
11070.2455,Dengue virus 4 CNM366VI03,NA,11070,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11070,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;Dengue virus type 4,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Partial,CNM366VI03,DENV-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-24T00:00:00Z,NA,NA,,NA,NA,NA,FJ502981,,NA,NA,NA,NA,NA,NA,1,217,44.700462,1,217,NA,NA,NA,1,NA,NA,NA,NA,NA,,NA,2003,2003,NA,Dominican Republic,North America,Dominican Republic,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,,2021-10-12T18:33:23.388Z,2021-10-12T18:33:23.388Z
11060.977,Dengue virus 2,NA,11060,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11060,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;Dengue virus type 2,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Complete,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-05-05T00:00:00Z,NA,NA,PRJNA31235,NA,NA,NA,FJ898451,Broad Institute,NA,NA,NA,NA,NA,NA,1,10678,45.795094,1,10678,NA,NA,NA,NA,NA,NA,NA,NA,NA,cell supernatant,NA,2003,2003,NA,Dominican Republic,North America,Dominican Republic,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,"Broad's Viral Genomics Initiative focuses on four viruses: HCV, HIV, Dengue, and WNV. The scale and specific aims of each project varies, but they all are centered on understanding sequence variation as it relates to disease outcome and how the viruses evolve under host immune pressure.",2020-12-27T14:41:15.350Z,2020-12-27T14:41:15.350Z
2560602.2225,Mumps orthorubulavirus H050840134,NA,2560602,10239;2559587;2732396;2497569;2497570;2497574;11157;11158;2560080;2560195;2560602,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Rubulavirinae;Orthorubulavirus;Mumps orthorubulavirus,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Orthorubulavirus,Mumps orthorubulavirus,Partial,H050840134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-05-09T00:00:00Z,23637906,NA,NA,NA,NA,NA,JQ034432,NA,NA,NA,NA,NA,NA,NA,1,316,42.088608,1,316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,2005,NA,Dominican Republic,North America,Dominican Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-12T18:07:56.239Z,2021-01-12T18:07:56.239Z
2560602.2262,Mumps orthorubulavirus H050840134,NA,2560602,10239;2559587;2732396;2497569;2497570;2497574;11157;11158;2560080;2560195;2560602,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Rubulavirinae;Orthorubulavirus;Mumps orthorubulavirus,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Orthorubulavirus,Mumps orthorubulavirus,Partial,H050840134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-05-09T00:00:00Z,23637906,NA,NA,NA,NA,NA,JQ034471,NA,NA,NA,NA,NA,NA,NA,1,459,42.265797,1,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,2005,NA,Dominican Republic,North America,Dominican Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-12T18:24:06.079Z,2021-01-12T18:24:06.079Z
11053.3325,Dengue virus 1 CNM926VI06,NA,11053,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11053,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;dengue virus type I,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Partial,CNM926VI06,DENV-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-24T00:00:00Z,NA,NA,NA,NA,NA,NA,FJ502861,NA,NA,NA,NA,NA,NA,NA,1,216,45.37037,1,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,2006,NA,Dominican Republic,North America,Dominican Republic,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2021-01-19T05:56:08.363Z,2021-01-19T05:56:08.363Z
