genome_id,genome_name,other_names,taxon_id,taxon_lineage_ids,taxon_lineage_names,superkingdom,kingdom,phylum,class,order,family,genus,species,genome_status,strain,serovar,biovar,pathovar,mlst,segment,subtype,h_type,n_type,h1_clade_global,h1_clade_us,h5_clade,ph1n1_like,lineage,clade,subclade,other_typing,culture_collection,type_strain,reference_genome,genome_quality,completion_date,publication,authors,bioproject_accession,biosample_accession,assembly_accession,sra_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosome,plasmids,contigs,genome_length,gc_content,contig_l50,contig_n50,trna,rrna,mat_peptide,cds,coarse_consistency,fine_consistency,checkm_contamination,checkm_completeness,genome_quality_flags,isolation_source,isolation_comments,collection_date,collection_year,season,isolation_country,geographic_group,geographic_location,other_environmental,host_name,host_common_name,host_gender,host_age,host_health,host_group,lab_host,passage,other_clinical,additional_metadata,comments,date_inserted,date_modified
11080.165,Saint Louis encephalitis virus GHA 3,NA,11080,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;11080,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Saint Louis encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Saint Louis encephalitis virus,Partial,GHA 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-26T00:00:00Z,NA,NA,NA,NA,NA,NA,EU081858,NA,NA,NA,NA,NA,NA,NA,1,933,49.410503,1,933,NA,NA,NA,NA,NA,NA,NA,NA,NA,blood,NA,1955,1955,NA,Haiti,North America,Haiti,NA,Butorides virescens (green heron),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-19T05:49:46.286Z,2021-01-19T05:49:46.286Z
10497.854,African swine fever virus,NA,10497,10239;2732004;2732005;2732007;2732525;2732526;137992;39743;10497,Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Asfuvirales;Asfarviridae;Asfivirus;African swine fever virus,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,Asfarviridae,Asfivirus,African swine fever virus,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-26T00:00:00Z,19009341,NA,NA,NA,NA,NA,FJ174375,NA,NA,NA,NA,NA,NA,NA,1,404,43.316833,1,404,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1981,1981,NA,Haiti,North America,Haiti,NA,domestic pig,Pig,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2020-12-24T23:50:54.256Z,2020-12-24T23:50:54.256Z
10497.93,African swine fever virus,NA,10497,10239;2732004;2732005;2732007;2732525;2732526;137992;39743;10497,Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Asfuvirales;Asfarviridae;Asfivirus;African swine fever virus,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,Asfarviridae,Asfivirus,African swine fever virus,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-11-17T00:00:00Z,19009341,NA,NA,NA,NA,NA,FJ238536,NA,NA,NA,NA,NA,NA,NA,1,553,46.112114,1,553,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1981,1981,NA,Haiti,North America,Haiti,NA,domestic pig,Pig,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2020-12-25T00:03:28.733Z,2020-12-25T00:03:28.733Z
185638.67,Culex pipiens densovirus gonaives_2_1991,NA,185638,10239;2731342;2732092;2732415;2732422;2732534;10780;40120;2733228;2746931;185638,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Protoambidensovirus;Dipteran protoambidensovirus 1;Culex pipiens densovirus,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Protoambidensovirus,Dipteran protoambidensovirus 1,Partial,gonaives_2_1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-11T00:00:00Z,31807318,NA,NA,NA,NA,NA,MK521522,NA,NA,Sanger dideoxy sequencing,NA,NA,NA,NA,1,1319,38.61912,1,1319,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1991,1991,NA,Haiti,North America,Haiti,NA,Culex pipiens,Northern House Mosquito,NA,NA,NA,Insect,NA,NA,NA,NA,NA,2021-01-13T01:43:20.875Z,2021-01-13T01:43:20.875Z
185638.27,Culex pipiens densovirus gonaives_2_1991,NA,185638,10239;2731342;2732092;2732415;2732422;2732534;10780;40120;2733228;2746931;185638,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Protoambidensovirus;Dipteran protoambidensovirus 1;Culex pipiens densovirus,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Protoambidensovirus,Dipteran protoambidensovirus 1,Partial,gonaives_2_1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-11T00:00:00Z,31807318,NA,NA,NA,NA,NA,MK521481,NA,NA,Sanger dideoxy sequencing,NA,NA,NA,NA,1,889,33.85827,1,889,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1991,1991,NA,Haiti,North America,Haiti,NA,Culex pipiens,Northern House Mosquito,NA,NA,NA,Insect,NA,NA,NA,NA,NA,2021-01-13T01:39:11.925Z,2021-01-13T01:39:11.925Z
185638.26,Culex pipiens densovirus gonaives_6_1991,NA,185638,10239;2731342;2732092;2732415;2732422;2732534;10780;40120;2733228;2746931;185638,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Protoambidensovirus;Dipteran protoambidensovirus 1;Culex pipiens densovirus,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Protoambidensovirus,Dipteran protoambidensovirus 1,Partial,gonaives_6_1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-11T00:00:00Z,31807318,NA,NA,NA,NA,NA,MK521480,NA,NA,Sanger dideoxy sequencing,NA,NA,NA,NA,1,889,33.408325,1,889,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1991,1991,NA,Haiti,North America,Haiti,NA,Culex pipiens,Northern House Mosquito,NA,NA,NA,Insect,NA,NA,NA,NA,NA,2021-01-13T01:39:11.566Z,2021-01-13T01:39:11.566Z
185638.69,Culex pipiens densovirus gonaives_6_1991,NA,185638,10239;2731342;2732092;2732415;2732422;2732534;10780;40120;2733228;2746931;185638,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Protoambidensovirus;Dipteran protoambidensovirus 1;Culex pipiens densovirus,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Protoambidensovirus,Dipteran protoambidensovirus 1,Partial,gonaives_6_1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-11T00:00:00Z,31807318,NA,NA,NA,NA,NA,MK521523,NA,NA,Sanger dideoxy sequencing,NA,NA,NA,NA,1,1325,38.89728,1,1325,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1991,1991,NA,Haiti,North America,Haiti,NA,Culex pipiens,Northern House Mosquito,NA,NA,NA,Insect,NA,NA,NA,NA,NA,2021-01-13T01:43:21.139Z,2021-01-13T01:43:21.139Z
11070.418,Dengue virus 4,NA,11070,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11070,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;Dengue virus type 4,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Complete,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-01-08T00:00:00Z,22178263,NA,NA,NA,NA,NA,JF262782,NA,NA,NA,NA,NA,NA,NA,1,10649,46.999153,1,10649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,1994,NA,Haiti,North America,Haiti,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2020-12-29T03:32:40.123Z,2020-12-29T03:32:40.123Z
37296.268,Human gammaherpesvirus 8 VG1,NA,37296,10239;2731341;2731360;2731361;2731363;548681;10292;10374;10379;37296,Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Human gammaherpesvirus 8,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus,Human gammaherpesvirus 8,Partial,VG1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-04T00:00:00Z,NA,NA,NA,NA,NA,NA,MH996625,NA,NA,ABI 3730xl,NA,AssemblyLign v. 1.0.9,NA,NA,1,648,52.77778,1,648,NA,NA,NA,1,NA,NA,NA,NA,NA,PEL cell line from AIDS patient,NA,2000,2000,NA,Haiti,North America,Haiti,NA,Homo sapiens,Human,NA,NA,NA,Human,,NA,NA,NA,NA,2021-01-10T12:08:40.264Z,2021-01-10T12:08:40.264Z
37296.2915,Human gammaherpesvirus 8 VG1,NA,37296,10239;2731341;2731360;2731361;2731363;548681;10292;10374;10379;37296,Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Human gammaherpesvirus 8,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus,Human gammaherpesvirus 8,Partial,VG1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-23T00:00:00Z,NA,NA,NA,NA,NA,NA,MK176599,NA,NA,ABI 3730xl,NA,AssemblyLign v. 1.0.9,NA,NA,1,932,56.223175,1,932,NA,NA,NA,2,NA,NA,NA,NA,NA,,NA,2000,2000,NA,Haiti,North America,Haiti,NA,,Lab host,NA,NA,NA,Lab,PEL cell line from AIDS patient,NA,NA,NA,NA,2021-01-10T13:42:32.138Z,2021-01-10T13:42:32.138Z
37296.3109,Human gammaherpesvirus 8 VG1,NA,37296,10239;2731341;2731360;2731361;2731363;548681;10292;10374;10379;37296,Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Rhadinovirus;Human gammaherpesvirus 8,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus,Human gammaherpesvirus 8,Partial,VG1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-24T00:00:00Z,NA,NA,NA,NA,NA,NA,MK443315,NA,NA,,NA,,NA,NA,1,1861,50.940353,1,1861,NA,NA,NA,2,NA,NA,NA,NA,NA,PEL cell line from AIDS patient,NA,2000,2000,NA,Haiti,North America,Haiti,NA,,,NA,NA,NA,,,NA,NA,NA,NA,2021-01-10T14:01:41.214Z,2021-01-10T14:01:41.214Z
11060.2994,Dengue virus 2 SF737VI06,NA,11060,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11060,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;Dengue virus type 2,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Partial,SF737VI06,DENV-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-24T00:00:00Z,NA,NA,NA,NA,NA,NA,FJ502904,NA,NA,NA,NA,NA,NA,NA,1,219,47.031963,1,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,2005,NA,Haiti,North America,Haiti,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2021-01-19T06:00:20.975Z,2021-01-19T06:00:20.975Z
10407.74476,Hepatitis B virus A1_48004,NA,10407,10239;2559587;2732397;2732409;2732514;2732515;10404;10405;10407,Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus;Hepatitis B virus,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,Hepatitis B virus,Complete,A1_48004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-08-05T00:00:00Z,19751583,NA,NA,NA,NA,NA,FJ692557,NA,NA,NA,NA,NA,NA,NA,1,3221,48.432163,1,3221,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2006,2006,NA,Haiti,North America,Haiti,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2021-01-09T10:18:23.650Z,2021-01-09T10:18:23.650Z
10407.74484,Hepatitis B virus A1_48008,NA,10407,10239;2559587;2732397;2732409;2732514;2732515;10404;10405;10407,Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus;Hepatitis B virus,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,Hepatitis B virus,Complete,A1_48008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-08-05T00:00:00Z,19751583,NA,NA,NA,NA,NA,FJ692558,NA,NA,NA,NA,NA,NA,NA,1,3221,48.413193,1,3221,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2006,2006,NA,Haiti,North America,Haiti,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2021-01-09T10:20:24.163Z,2021-01-09T10:20:24.163Z
10407.74491,Hepatitis B virus A1_48032,NA,10407,10239;2559587;2732397;2732409;2732514;2732515;10404;10405;10407,Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus;Hepatitis B virus,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,Hepatitis B virus,Complete,A1_48032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-08-05T00:00:00Z,19751583,NA,NA,NA,NA,NA,FJ692559,NA,NA,NA,NA,NA,NA,NA,1,3221,48.57054,1,3221,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2006,2006,NA,Haiti,North America,Haiti,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2021-01-09T10:20:25.455Z,2021-01-09T10:20:25.455Z
10407.74498,Hepatitis B virus A1_48039,NA,10407,10239;2559587;2732397;2732409;2732514;2732515;10404;10405;10407,Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus;Hepatitis B virus,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,Hepatitis B virus,Complete,A1_48039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-08-05T00:00:00Z,19751583,NA,NA,NA,NA,NA,FJ692560,NA,NA,NA,NA,NA,NA,NA,1,3220,48.43119,1,3220,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2006,2006,NA,Haiti,North America,Haiti,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2021-01-09T10:20:24.101Z,2021-01-09T10:20:24.101Z
