genome_id,genome_name,other_names,taxon_id,taxon_lineage_ids,taxon_lineage_names,superkingdom,kingdom,phylum,class,order,family,genus,species,genome_status,strain,serovar,biovar,pathovar,mlst,segment,subtype,h_type,n_type,h1_clade_global,h1_clade_us,h5_clade,ph1n1_like,lineage,clade,subclade,other_typing,culture_collection,type_strain,reference_genome,genome_quality,completion_date,publication,authors,bioproject_accession,biosample_accession,assembly_accession,sra_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosome,plasmids,contigs,genome_length,gc_content,contig_l50,contig_n50,trna,rrna,mat_peptide,cds,coarse_consistency,fine_consistency,checkm_contamination,checkm_completeness,genome_quality_flags,isolation_source,isolation_comments,collection_date,collection_year,season,isolation_country,geographic_group,geographic_location,other_environmental,host_name,host_common_name,host_gender,host_age,host_health,host_group,lab_host,passage,other_clinical,additional_metadata,comments,date_inserted,date_modified
135325.3,Influenza A virus (A/El Salvador/2/1957(H2N2)) A/El Salvador/2/57 ,NA,135325,10239;2559587;2732396;2497569;2497571;2497577;2499411;11308;197911;11320;114729;135325,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Influenza A virus;H2N2 subtype;Influenza A virus (A/El Salvador/2/1957(H2N2)),Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Partial,A/El Salvador/2/57,H2N2,NA,NA,NA,NA,H2N2,2,2,NA,NA,NA,Negative,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-26T00:00:00Z,NA,NA,NA,NA,NA,NA,AF270716,NA,NA,NA,NA,NA,NA,NA,1,1017,43.46116,1,1017,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1957,1957,NA,El Salvador,North America,El Salvador,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2021-03-07T18:38:52.366Z,2021-03-07T18:38:52.366Z
46935.17,Human adenovirus 39,NA,46935,10239;2732004;2732005;2732008;2732529;2732559;10508;10509;130310;46935,Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human mastadenovirus D;Human adenovirus 39,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus D,Complete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-11-04T00:00:00Z,24027303,NA,NA,NA,GCA_006444655.1,NA,JN226760,NA,NA,NA,NA,NA,NA,NA,1,35152,57.316795,1,35152,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,1977,1977,NA,El Salvador,North America,El Salvador,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2020-12-25T11:53:49.293Z,2020-12-25T11:53:49.293Z
11277.119,Vesicular stomatitis Indiana virus ES85B/L-134-85,NA,11277,10239;2559587;2732396;2497569;2497570;2497574;11157;11270;2842407;11271;1972577;11277,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Vesiculovirus;Vesiculovirus indiana;Vesicular stomatitis Indiana virus,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Vesiculovirus,Vesiculovirus indiana,Partial,ES85B/L-134-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-09T00:00:00Z,NA,NA,NA,NA,NA,NA,MK934321,NA,NA,Illumina,NA,CLC genomics workbench v. 7.5.2,NA,NA,1,11148,41.222485,1,11148,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1985,1985,NA,El Salvador,North America,El Salvador,NA,Bovine,Cow,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2021-01-18T21:34:13.474Z,2021-01-18T21:34:13.474Z
11053.4199,Dengue virus 1 DENV-1/SV/BID-V2938/1993,NA,11053,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11053,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;dengue virus type I,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Complete,DENV-1/SV/BID-V2938/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-11-19T00:00:00Z,NA,NA,PRJNA31235,NA,NA,NA,JN819417,Broad Institute,NA,NA,NA,NA,NA,NA,1,10676,46.590485,1,10676,NA,NA,NA,NA,NA,NA,NA,NA,NA,cell supernatant,NA,1993,1993,NA,El Salvador,North America,El Salvador,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,"Broad's Viral Genomics Initiative focuses on four viruses: HCV, HIV, Dengue, and WNV. The scale and specific aims of each project varies, but they all are centered on understanding sequence variation as it relates to disease outcome and how the viruses evolve under host immune pressure.",2021-01-19T13:17:43.831Z,2021-01-19T13:17:43.831Z
12637.113,Dengue virus,NA,12637,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-26T00:00:00Z,16528038,NA,NA,NA,NA,NA,DQ364515,NA,NA,NA,NA,NA,NA,NA,1,2322,45.478035,1,2322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,1999,NA,El Salvador,North America,El Salvador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-30T03:12:02.462Z,2020-12-30T03:12:02.462Z
12637.1152,Dengue virus,NA,12637,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-26T00:00:00Z,16528038,NA,NA,NA,NA,NA,DQ364560,NA,NA,NA,NA,NA,NA,NA,1,2322,46.1671,1,2322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2000,NA,El Salvador,North America,El Salvador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-30T03:16:04.857Z,2020-12-30T03:16:04.857Z
680717.5,Influenza A virus (A/chicken/El Salvador/102711-2/2001(H5N2)),NA,680717,10239;2559587;2732396;2497569;2497571;2497577;2499411;11308;197911;11320;119220;680717,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Influenza A virus;H5N2 subtype;Influenza A virus (A/chicken/El Salvador/102711-2/2001(H5N2)),Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Complete,A/chicken/El Salvador/102711-2/2001,H5N2,NA,NA,NA,8,H5N2,5,2,NA,NA,Am-nonGsGD,Negative,NA,NA,NA,NA,NA,NA,NA,NA,2009-11-28T00:00:00Z,NA,NA,NA,NA,NA,NA,GU052640,NA,NA,,NA,,NA,NA,1,865,41.734104,1,865,NA,NA,NA,2,NA,NA,NA,NA,NA,,NA,2001,2001,NA,El Salvador,North America,El Salvador,NA,chicken,Chicken,NA,NA,NA,Avian,NA,allantoic fluid,NA,NA,NA,2021-03-17T03:56:25.299Z,2021-03-17T03:56:25.299Z
680717.11,Influenza A virus (A/chicken/El Salvador/102711-2/2001(H5N2)),NA,680717,10239;2559587;2732396;2497569;2497571;2497577;2499411;11308;197911;11320;119220;680717,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Influenza A virus;H5N2 subtype;Influenza A virus (A/chicken/El Salvador/102711-2/2001(H5N2)),Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Complete,A/chicken/El Salvador/102711-2/2001,H5N2,NA,NA,NA,2,H5N2,5,2,NA,NA,Am-nonGsGD,Negative,NA,NA,NA,NA,NA,NA,NA,NA,2009-11-28T00:00:00Z,NA,NA,NA,NA,NA,NA,GU052642,NA,NA,,NA,,NA,NA,1,2316,42.314335,1,2316,NA,NA,NA,1,NA,NA,NA,NA,NA,,NA,2001,2001,NA,El Salvador,North America,El Salvador,NA,chicken,Chicken,NA,NA,NA,Avian,NA,allantoic fluid,NA,NA,NA,2021-03-17T03:56:25.246Z,2021-03-17T03:56:25.246Z
680717.7,Influenza A virus (A/chicken/El Salvador/102711-2/2001(H5N2)),NA,680717,10239;2559587;2732396;2497569;2497571;2497577;2499411;11308;197911;11320;119220;680717,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Influenza A virus;H5N2 subtype;Influenza A virus (A/chicken/El Salvador/102711-2/2001(H5N2)),Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Complete,A/chicken/El Salvador/102711-2/2001,H5N2,NA,NA,NA,7,H5N2,5,2,NA,NA,Am-nonGsGD,Negative,NA,NA,NA,NA,NA,NA,NA,NA,2009-11-28T00:00:00Z,NA,NA,NA,NA,NA,NA,GU052637,NA,NA,,NA,,NA,NA,1,1002,47.40519,1,1002,NA,NA,NA,2,NA,NA,NA,NA,NA,,NA,2001,2001,NA,El Salvador,North America,El Salvador,NA,chicken,Chicken,NA,NA,NA,Avian,NA,allantoic fluid,NA,NA,NA,2021-03-17T03:56:25.453Z,2021-03-17T03:56:25.453Z
680717.8,Influenza A virus (A/chicken/El Salvador/102711-2/2001(H5N2)),NA,680717,10239;2559587;2732396;2497569;2497571;2497577;2499411;11308;197911;11320;119220;680717,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Influenza A virus;H5N2 subtype;Influenza A virus (A/chicken/El Salvador/102711-2/2001(H5N2)),Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Complete,A/chicken/El Salvador/102711-2/2001,H5N2,NA,NA,NA,5,H5N2,5,2,NA,NA,Am-nonGsGD,Negative,NA,NA,NA,NA,NA,NA,NA,NA,2009-11-28T00:00:00Z,NA,NA,NA,NA,NA,NA,GU052639,NA,NA,,NA,,NA,NA,1,1540,46.298702,1,1540,NA,NA,NA,1,NA,NA,NA,NA,NA,,NA,2001,2001,NA,El Salvador,North America,El Salvador,NA,chicken,Chicken,NA,NA,NA,Avian,NA,allantoic fluid,NA,NA,NA,2021-03-17T03:56:24.735Z,2021-03-17T03:56:24.735Z
