genome_id,genome_name,other_names,taxon_id,taxon_lineage_ids,taxon_lineage_names,superkingdom,kingdom,phylum,class,order,family,genus,species,genome_status,strain,serovar,biovar,pathovar,mlst,segment,subtype,h_type,n_type,h1_clade_global,h1_clade_us,h5_clade,ph1n1_like,lineage,clade,subclade,other_typing,culture_collection,type_strain,reference_genome,genome_quality,completion_date,publication,authors,bioproject_accession,biosample_accession,assembly_accession,sra_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosome,plasmids,contigs,genome_length,gc_content,contig_l50,contig_n50,trna,rrna,mat_peptide,cds,coarse_consistency,fine_consistency,checkm_contamination,checkm_completeness,genome_quality_flags,isolation_source,isolation_comments,collection_date,collection_year,season,isolation_country,geographic_group,geographic_location,other_environmental,host_name,host_common_name,host_gender,host_age,host_health,host_group,lab_host,passage,other_clinical,additional_metadata,comments,date_inserted,date_modified
2935157.3,Ralstonia phage YO034_1,NA,2935157,10239;2731341;2731360;2731618;2731619;2946167;2960950;2935157,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Peduoviridae;unclassified Peduoviridae;Ralstonia phage YO034_1,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,NA,Peduoviridae,NA,Ralstonia phage YO034_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-14T00:00:00Z,36199029,NA,PRJNA823737,NA,GCA_025839045.1,NA,ON170076,NA,NA,Illumina,NA,Unicycler v. 0.4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heliconia sp.,NA,1958,1958,NA,Costa Rica,North America,Costa Rica,NA,Ralstonia solanacearum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22T19:12:01.596Z,2022-11-22T19:12:01.596Z
2935158.3,Ralstonia phage YO035_3,NA,2935158,10239;2731341;2731360;2731618;2731619;10699;196894;2935158,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Siphoviridae;unclassified Siphoviridae;Ralstonia phage YO035_3,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,NA,Siphoviridae,,Ralstonia phage YO035_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-14T00:00:00Z,36199029,NA,PRJNA823737,NA,GCA_025839055.1,NA,ON170077,NA,NA,Illumina,NA,Unicycler v. 0.4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,banana,NA,1959,1959,NA,Costa Rica,North America,Costa Rica,NA,Ralstonia solanacearum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22T19:12:16.416Z,2022-11-22T19:12:16.416Z
2935159.3,Ralstonia phage YO035_4,NA,2935159,10239;2731341;2731360;2731618;2731619;2946167;2732972;2748757;2935159,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Peduoviridae;Aresaunavirus;unclassified Aresaunavirus;Ralstonia phage YO035_4,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,NA,Peduoviridae,Aresaunavirus,Ralstonia phage YO035_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-14T00:00:00Z,36199029,NA,PRJNA823737,NA,GCA_025839065.1,NA,ON170078,NA,NA,Illumina,NA,Unicycler v. 0.4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,banana,NA,1959,1959,NA,Costa Rica,North America,Costa Rica,NA,Ralstonia solanacearum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22T19:12:43.058Z,2022-11-22T19:12:43.058Z
2935160.3,Ralstonia phage YO036_3,NA,2935160,10239;2731341;2731360;2731618;2731619;10699;196894;2935160,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Siphoviridae;unclassified Siphoviridae;Ralstonia phage YO036_3,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,NA,Siphoviridae,,Ralstonia phage YO036_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-14T00:00:00Z,36199029,NA,PRJNA823737,NA,GCA_025839075.1,NA,ON170079,NA,NA,Illumina,NA,Unicycler v. 0.4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,banana,NA,1959,1959,NA,Costa Rica,North America,Costa Rica,NA,Ralstonia solanacearum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22T19:12:09.830Z,2022-11-22T19:12:09.830Z
2935161.3,Ralstonia phage YO036_4,NA,2935161,10239;2731341;2731360;2731618;2731619;2946167;2732972;2748757;2935161,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Peduoviridae;Aresaunavirus;unclassified Aresaunavirus;Ralstonia phage YO036_4,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,NA,Peduoviridae,Aresaunavirus,Ralstonia phage YO036_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-14T00:00:00Z,36199029,NA,PRJNA823737,NA,GCA_025839085.1,NA,ON170080,NA,NA,Illumina,NA,Unicycler v. 0.4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,banana,NA,1959,1959,NA,Costa Rica,North America,Costa Rica,NA,Ralstonia solanacearum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22T19:12:37.385Z,2022-11-22T19:12:37.385Z
2935162.3,Ralstonia phage YO037_1,NA,2935162,10239;2731341;2731360;2731618;2731619;2946167;2960950;2935162,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Peduoviridae;unclassified Peduoviridae;Ralstonia phage YO037_1,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,NA,Peduoviridae,,Ralstonia phage YO037_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-14T00:00:00Z,36199029,NA,PRJNA823737,NA,GCA_025839095.1,NA,ON170081,NA,NA,Illumina,NA,Unicycler v. 0.4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nightshade,NA,1959,1959,NA,Costa Rica,North America,Costa Rica,NA,Ralstonia solanacearum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22T19:12:33.304Z,2022-11-22T19:12:33.304Z
2935163.3,Ralstonia phage YO038_1,NA,2935163,10239;2731341;2731360;2731618;2731619;2946167;2960950;2935163,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Peduoviridae;unclassified Peduoviridae;Ralstonia phage YO038_1,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,NA,Peduoviridae,,Ralstonia phage YO038_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-14T00:00:00Z,36199029,NA,PRJNA823737,NA,GCA_025839105.1,NA,ON170082,NA,NA,Illumina,NA,Unicycler v. 0.4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false daisy,NA,1959,1959,NA,Costa Rica,North America,Costa Rica,NA,Ralstonia solanacearum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22T19:12:11.833Z,2022-11-22T19:12:11.833Z
11277.105,Vesicular stomatitis Indiana virus 22-20,NA,11277,10239;2559587;2732396;2497569;2497570;2497574;11157;11270;2842407;11271;1972577;11277,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Vesiculovirus;Vesiculovirus indiana;Vesicular stomatitis Indiana virus,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Vesiculovirus,Vesiculovirus indiana,Complete,22-20,Indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-21T00:00:00Z,NA,NA,NA,NA,NA,NA,MH919396,NA,NA,Illumina; Sanger dideoxy sequencing,NA,SPAdes v. 3.11.1,NA,NA,1,11143,41.757156,1,11143,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1987,1987,NA,Costa Rica,North America,Costa Rica,NA,Bos taurus,Cow,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2021-01-18T21:10:01.275Z,2021-01-18T21:10:01.275Z
11277.107,Vesicular stomatitis Indiana virus 22-25,NA,11277,10239;2559587;2732396;2497569;2497570;2497574;11157;11270;2842407;11271;1972577;11277,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Vesiculovirus;Vesiculovirus indiana;Vesicular stomatitis Indiana virus,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Vesiculovirus,Vesiculovirus indiana,Complete,22-25,Indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-21T00:00:00Z,NA,NA,NA,NA,NA,NA,MH919397,NA,NA,Illumina; Sanger dideoxy sequencing,NA,SPAdes v. 3.11.1,NA,NA,1,11143,41.72126,1,11143,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1987,1987,NA,Costa Rica,North America,Costa Rica,NA,Bos taurus,Cow,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2021-01-18T21:10:05.514Z,2021-01-18T21:10:05.514Z
1672385.19,University of Giessen virus CR-wild1-FFPE,NA,1672385,10239;2559587;2732396;2497569;2497571;2497576;1980410;11617;1653395;2170176;1672385,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Arenaviridae;Reptarenavirus;Giessen reptarenavirus;University of Giessen virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Reptarenavirus,Giessen reptarenavirus,Complete,CR-wild1-FFPE,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-09-03T00:00:00Z,NA,NA,NA,NA,NA,NA,OM456552,NA,NA,Illumina,NA,MIRA v. v. 4.0.2,NA,NA,1,3478,42.869465,1,3478,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1989,1989,NA,Costa Rica,North America,Costa Rica,NA,Boa constrictor,Snake,NA,NA,NA,Reptile,NA,NA,NA,NA,NA,2022-09-10T22:52:38.708Z,2022-09-10T22:52:38.708Z
1672385.21,University of Giessen virus CR-wild2-FFPE,NA,1672385,10239;2559587;2732396;2497569;2497571;2497576;1980410;11617;1653395;2170176;1672385,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Arenaviridae;Reptarenavirus;Giessen reptarenavirus;University of Giessen virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Reptarenavirus,Giessen reptarenavirus,Complete,CR-wild2-FFPE,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-09-03T00:00:00Z,NA,NA,NA,NA,NA,NA,OM456554,NA,NA,Illumina,NA,MIRA v. v. 4.0.2,NA,NA,1,3494,42.98798,1,3494,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1989,1989,NA,Costa Rica,North America,Costa Rica,NA,Boa constrictor,Snake,NA,NA,NA,Reptile,NA,NA,NA,NA,NA,2022-09-10T22:57:39.226Z,2022-09-10T22:57:39.226Z
2447924.8,Aurora borealis virus 3 CR-wild2-FFPE,NA,2447924,10239;2559587;2732396;2497569;2497571;2497576;1980410;11617;1653395;1654822;2447924,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;Aurora borealis virus 3,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Reptarenavirus,Aurora borealis virus 3,Complete,CR-wild2-FFPE,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-09-03T00:00:00Z,NA,NA,NA,NA,NA,NA,OM456555,NA,NA,Illumina,NA,MIRA v. v. 4.0.2,NA,NA,1,6895,39.78245,1,6895,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1989,1989,NA,Costa Rica,North America,Costa Rica,NA,Boa constrictor,Snake,NA,NA,NA,Reptile,NA,NA,NA,NA,NA,2022-09-10T22:57:39.356Z,2022-09-10T22:57:39.356Z
2447924.9,Aurora borealis virus 3 CR-wild1-FFPE,NA,2447924,10239;2559587;2732396;2497569;2497571;2497576;1980410;11617;1653395;1654822;2447924,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Arenaviridae;Reptarenavirus;unclassified Reptarenavirus;Aurora borealis virus 3,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Reptarenavirus,Aurora borealis virus 3,Complete,CR-wild1-FFPE,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-09-03T00:00:00Z,NA,NA,NA,NA,NA,NA,OM456553,NA,NA,Illumina,NA,MIRA v. v. 4.0.2,NA,NA,1,6822,39.695103,1,6822,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1989,1989,NA,Costa Rica,North America,Costa Rica,NA,Boa constrictor,Snake,NA,NA,NA,Reptile,NA,NA,NA,NA,NA,2022-09-10T22:57:39.394Z,2022-09-10T22:57:39.394Z
