genome_id,genome_name,other_names,taxon_id,taxon_lineage_ids,taxon_lineage_names,superkingdom,kingdom,phylum,class,order,family,genus,species,genome_status,strain,serovar,biovar,pathovar,mlst,segment,subtype,h_type,n_type,h1_clade_global,h1_clade_us,h5_clade,ph1n1_like,lineage,clade,subclade,other_typing,culture_collection,type_strain,reference_genome,genome_quality,completion_date,publication,authors,bioproject_accession,biosample_accession,assembly_accession,sra_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosome,plasmids,contigs,genome_length,gc_content,contig_l50,contig_n50,trna,rrna,mat_peptide,cds,coarse_consistency,fine_consistency,checkm_contamination,checkm_completeness,genome_quality_flags,isolation_source,isolation_comments,collection_date,collection_year,season,isolation_country,geographic_group,geographic_location,other_environmental,host_name,host_common_name,host_gender,host_age,host_health,host_group,lab_host,passage,other_clinical,additional_metadata,comments,date_inserted,date_modified
12116.12,Foot-and-mouth disease virus - type C PAR/69,NA,12116,10239;2559587;2732396;2732408;2732506;464095;12058;2946627;12109;12110;12116,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Caphthovirinae;Aphthovirus;Foot-and-mouth disease virus;Foot and mouth disease virus C,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Aphthovirus,Foot-and-mouth disease virus,Partial,PAR/69,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-12T00:00:00Z,NA,NA,NA,NA,NA,NA,MT219924,NA,NA,Sanger dideoxy sequencing,NA,NA,NA,NA,1,633,56.50794,1,633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969-07-04,1969,NA,Paraguay,South America,Paraguay: Departmento Central,NA,cattle,Cow,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2021-01-14T23:55:40.554Z,2021-01-14T23:55:40.554Z
12116.121,Foot-and-mouth disease virus - type C Chaco/PAR/74,NA,12116,10239;2559587;2732396;2732408;2732506;464095;12058;2946627;12109;12110;12116,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Caphthovirinae;Aphthovirus;Foot-and-mouth disease virus;Foot and mouth disease virus C,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Aphthovirus,Foot-and-mouth disease virus,Partial,Chaco/PAR/74,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-12T00:00:00Z,NA,NA,NA,NA,NA,NA,MT219925,NA,NA,Sanger dideoxy sequencing,NA,NA,NA,NA,1,630,57.77778,1,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,NA,Paraguay,South America,Paraguay: Chaco,NA,cattle,Cow,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2021-01-14T23:55:40.563Z,2021-01-14T23:55:40.563Z
11292.26412,Rabies lyssavirus 352,NA,11292,10239;2559587;2732396;2497569;2497570;2497574;11157;11270;2842407;11286;11292,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Lyssavirus;Lyssavirus rabies,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,Lyssavirus rabies,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-12T00:00:00Z,34960753,NA,NA,NA,NA,NA,OL451908,NA,NA,Illumina,NA,Ray v. 3; Bowtie v. 2; Samtools v. 0.1.8,NA,NA,1,1353,44.493717,1,1353,NA,NA,NA,1,NA,NA,NA,NA,NA,brain,NA,NA,1991,NA,Paraguay,South America,Paraguay: Itapua,NA,Canis lupus familiaris,Dog,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2022-02-18T09:35:05.009Z,2022-02-18T09:35:05.009Z
11292.2642,Rabies lyssavirus 353,NA,11292,10239;2559587;2732396;2497569;2497570;2497574;11157;11270;2842407;11286;11292,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Lyssavirus;Lyssavirus rabies,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,Lyssavirus rabies,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-12T00:00:00Z,34960753,NA,NA,NA,NA,NA,OL451916,NA,NA,Illumina,NA,Ray v. 3; Bowtie v. 2; Samtools v. 0.1.8,NA,NA,1,1353,44.641537,1,1353,NA,NA,NA,1,NA,NA,NA,NA,NA,brain,NA,NA,1991,NA,Paraguay,South America,Paraguay: Itapua,NA,Canis lupus familiaris,Dog,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2022-02-18T09:35:05.648Z,2022-02-18T09:35:05.648Z
11292.26411,Rabies lyssavirus 369,NA,11292,10239;2559587;2732396;2497569;2497570;2497574;11157;11270;2842407;11286;11292,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Lyssavirus;Lyssavirus rabies,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,Lyssavirus rabies,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-12T00:00:00Z,34960753,NA,NA,NA,NA,NA,OL451907,NA,NA,Illumina,NA,Ray v. 3; Bowtie v. 2; Samtools v. 0.1.8,NA,NA,1,1353,44.493717,1,1353,NA,NA,NA,1,NA,NA,NA,NA,NA,brain,NA,NA,1992,NA,Paraguay,South America,Paraguay: Itapua,NA,Canis lupus familiaris,Dog,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2022-02-18T09:35:04.928Z,2022-02-18T09:35:04.928Z
11292.13658,Rabies lyssavirus 9,NA,11292,10239;2559587;2732396;2497569;2497570;2497574;11157;11270;2842407;11286;11292,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Lyssavirus;Lyssavirus rabies,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,Lyssavirus rabies,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-05T00:00:00Z,NA,NA,NA,NA,NA,NA,KU312287,NA,NA,Sanger dideoxy sequencing,NA,NA,NA,NA,1,320,45,1,320,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,Paraguay,South America,Paraguay,NA,Canis lupus familiaris,Dog,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2021-01-18T21:15:22.068Z,2021-01-18T21:15:22.068Z
11292.13661,Rabies lyssavirus 13,NA,11292,10239;2559587;2732396;2497569;2497570;2497574;11157;11270;2842407;11286;11292,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Lyssavirus;Lyssavirus rabies,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,Lyssavirus rabies,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-05T00:00:00Z,NA,NA,NA,NA,NA,NA,KU312288,NA,NA,Sanger dideoxy sequencing,NA,NA,NA,NA,1,320,45.3125,1,320,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,Paraguay,South America,Paraguay,NA,Canis lupus familiaris,Dog,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2021-01-18T21:15:24.051Z,2021-01-18T21:15:24.051Z
11292.13664,Rabies lyssavirus 14,NA,11292,10239;2559587;2732396;2497569;2497570;2497574;11157;11270;2842407;11286;11292,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Lyssavirus;Lyssavirus rabies,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,Lyssavirus rabies,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-05T00:00:00Z,NA,NA,NA,NA,NA,NA,KU312289,NA,NA,Sanger dideoxy sequencing,NA,NA,NA,NA,1,320,45.3125,1,320,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,Paraguay,South America,Paraguay,NA,Canis lupus familiaris,Dog,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2021-01-18T21:15:23.184Z,2021-01-18T21:15:23.184Z
11292.13665,Rabies lyssavirus 20,NA,11292,10239;2559587;2732396;2497569;2497570;2497574;11157;11270;2842407;11286;11292,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Lyssavirus;Lyssavirus rabies,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,Lyssavirus rabies,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-05T00:00:00Z,NA,NA,NA,NA,NA,NA,KU312290,NA,NA,Sanger dideoxy sequencing,NA,NA,NA,NA,1,320,45.625,1,320,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,Paraguay,South America,Paraguay,NA,Canis lupus familiaris,Dog,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2021-01-18T21:15:22.956Z,2021-01-18T21:15:22.956Z
11292.13673,Rabies lyssavirus 77,NA,11292,10239;2559587;2732396;2497569;2497570;2497574;11157;11270;2842407;11286;11292,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Lyssavirus;Lyssavirus rabies,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus,Lyssavirus rabies,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-05T00:00:00Z,NA,NA,NA,NA,NA,NA,KU312291,NA,NA,Sanger dideoxy sequencing,NA,NA,NA,NA,1,320,45.625,1,320,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,Paraguay,South America,Paraguay,NA,Canis lupus familiaris,Dog,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2021-01-18T21:15:24.212Z,2021-01-18T21:15:24.212Z
