genome_id,genome_name,other_names,taxon_id,taxon_lineage_ids,taxon_lineage_names,superkingdom,kingdom,phylum,class,order,family,genus,species,genome_status,strain,serovar,biovar,pathovar,mlst,segment,subtype,h_type,n_type,h1_clade_global,h1_clade_us,h5_clade,ph1n1_like,lineage,clade,subclade,other_typing,culture_collection,type_strain,reference_genome,genome_quality,completion_date,publication,authors,bioproject_accession,biosample_accession,assembly_accession,sra_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosome,plasmids,contigs,genome_length,gc_content,contig_l50,contig_n50,trna,rrna,mat_peptide,cds,coarse_consistency,fine_consistency,checkm_contamination,checkm_completeness,genome_quality_flags,isolation_source,isolation_comments,collection_date,collection_year,season,isolation_country,geographic_group,geographic_location,other_environmental,host_name,host_common_name,host_gender,host_age,host_health,host_group,lab_host,passage,other_clinical,additional_metadata,comments,date_inserted,date_modified
11069.622,Dengue virus 3 PR-6,NA,11069,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11069,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;Dengue virus type 3,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Partial,PR-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-18T00:00:00Z,NA,NA,NA,NA,NA,NA,OM258630,NA,NA,IonTorrent,NA,CLC genomic workbench v. 20; SeqMan NGen,NA,NA,1,10678,46.5162,1,10678,NA,NA,NA,1,NA,NA,NA,NA,NA,Cell culture SM(12)C6(1),NA,1953,1953,NA,Puerto Rico,North America,Puerto Rico,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2022-02-17T09:24:31.569Z,2022-02-17T09:24:31.569Z
2935367.3,Ralstonia phage YO168_1,NA,2935367,10239;2731341;2731360;2731618;2731619;10699;196894;2935367,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Siphoviridae;unclassified Siphoviridae;Ralstonia phage YO168_1,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,NA,Siphoviridae,NA,Ralstonia phage YO168_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-14T00:00:00Z,36199029,NA,PRJNA823737,NA,GCA_025842925.1,NA,ON170286,NA,NA,Illumina,NA,Unicycler v. 0.4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tomato,NA,1958,1958,NA,Puerto Rico,North America,Puerto Rico,NA,Ralstonia solanacearum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22T19:17:30.209Z,2022-11-22T19:17:30.209Z
2935368.3,Ralstonia phage YO169_1,NA,2935368,10239;2731341;2731360;2731618;2731619;10699;196894;2935368,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Siphoviridae;unclassified Siphoviridae;Ralstonia phage YO169_1,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,NA,Siphoviridae,NA,Ralstonia phage YO169_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-14T00:00:00Z,36199029,NA,PRJNA823737,NA,GCA_025842935.1,NA,ON170287,NA,NA,Illumina,NA,Unicycler v. 0.4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tomato,NA,1958,1958,NA,Puerto Rico,North America,Puerto Rico,NA,Ralstonia solanacearum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22T19:17:30.271Z,2022-11-22T19:17:30.271Z
2935369.3,Ralstonia phage YO169_3,NA,2935369,10239;2731341;2731360;2731618;2731619;10699;196894;2935369,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Siphoviridae;unclassified Siphoviridae;Ralstonia phage YO169_3,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,NA,Siphoviridae,NA,Ralstonia phage YO169_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-14T00:00:00Z,36199029,NA,PRJNA823737,NA,GCA_025842945.1,NA,ON170288,NA,NA,Illumina,NA,Unicycler v. 0.4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tomato,NA,1958,1958,NA,Puerto Rico,North America,Puerto Rico,NA,Ralstonia solanacearum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22T19:17:28.470Z,2022-11-22T19:17:28.470Z
12637.3376,Dengue virus DENV3/Puerto-Rico/1963/PRS-228762-AC27,NA,12637,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Partial,DENV3/Puerto-Rico/1963/PRS-228762-AC27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-09-29T00:00:00Z,26383952,NA,NA,NA,NA,NA,KT452800,NA,NA,Sanger dideoxy sequencing,NA,,NA,NA,1,1479,46.450306,1,1479,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1963,1963,NA,Puerto Rico,North America,Puerto Rico,NA,,,NA,NA,NA,,NA,NA,NA,NA,NA,2021-01-21T04:46:56.198Z,2021-01-21T04:46:56.198Z
11070.332,Dengue virus 4 B79233 25.3.01,NA,11070,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11070,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;Dengue virus type 4,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Partial,B79233 25.3.01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-28T00:00:00Z,NA,NA,NA,NA,NA,NA,OK469357,NA,NA,Illumina,NA,BWA-MEM v. 0.7.17; Samtools v. 1.7;,NA,NA,1,10611,47.231915,1,10611,NA,NA,NA,1,NA,NA,NA,NA,NA,blood,NA,1963,1963,NA,Puerto Rico,North America,Puerto Rico,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2022-05-01T03:10:03.090Z,2022-05-01T03:10:03.090Z
11069.559,Dengue virus 3 DENV3/PUERTORICO/1963/PRS-228762-AC27,NA,11069,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11069,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;Dengue virus type 3,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Complete,DENV3/PUERTORICO/1963/PRS-228762-AC27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-23T00:00:00Z,NA,NA,NA,NA,NA,NA,MW945427,NA,NA,Illumina,NA,ngs_mapper v. v1.5.0,NA,NA,1,10173,46.22419,1,10173,NA,NA,NA,1,NA,NA,NA,NA,NA,cell culture,NA,1963,1963,NA,Puerto Rico,North America,Puerto Rico,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2021-10-12T20:43:57.239Z,2021-10-12T20:43:57.239Z
11060.2613,Dengue virus 2,NA,11060,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11060,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;Dengue virus type 2,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Complete,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-09-30T00:00:00Z,NA,NA,PRJNA31235,NA,NA,NA,GQ868600,Broad Institute,NA,,NA,,NA,NA,1,10636,46.032345,1,10636,NA,NA,NA,NA,NA,NA,NA,NA,NA,cell supernatant,NA,1969,1969,NA,Puerto Rico,North America,Puerto Rico,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,"Broad's Viral Genomics Initiative focuses on four viruses: HCV, HIV, Dengue, and WNV. The scale and specific aims of each project varies, but they all are centered on understanding sequence variation as it relates to disease outcome and how the viruses evolve under host immune pressure.",2020-12-29T23:49:17.924Z,2020-12-29T23:49:17.924Z
11060.8757,Dengue virus 2 DENV2-PR159,NA,11060,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11060,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;Dengue virus type 2,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Complete,DENV2-PR159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-08-25T00:00:00Z,23937713,NA,,NA,NA,NA,JX966380,,NA,Sanger dideoxy sequencing,NA,"Lasergene suite, Seqman, MegAlign v. vs. 8",NA,NA,1,10712,46.060493,1,10712,NA,NA,NA,1,NA,NA,NA,NA,NA,,NA,1969,1969,NA,Puerto Rico,North America,Puerto Rico,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,,2021-10-12T19:14:24.514Z,2021-10-12T19:14:24.514Z
11060.2737,Dengue virus 2,NA,11060,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11060,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;Dengue virus type 2,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Partial,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-14T00:00:00Z,17014880,NA,NA,NA,NA,NA,DQ917243,NA,NA,NA,NA,NA,NA,NA,1,1485,46.329967,1,1485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,1977,NA,Puerto Rico,North America,Puerto Rico,NA,,,NA,NA,NA,,NA,NA,NA,NA,NA,2020-12-30T14:09:15.295Z,2020-12-30T14:09:15.295Z
11060.2866,Dengue virus 2 1328,NA,11060,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11060,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;Dengue virus type 2,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Complete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-07-10T00:00:00Z,18570968,NA,NA,NA,NA,NA,EU056812,NA,NA,NA,NA,NA,NA,NA,1,10714,46.07413,1,10714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,1977,NA,Puerto Rico,North America,Puerto Rico,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2021-01-19T04:56:42.201Z,2021-01-19T04:56:42.201Z
