genome_id,genome_name,other_names,taxon_id,taxon_lineage_ids,taxon_lineage_names,superkingdom,kingdom,phylum,class,order,family,genus,species,genome_status,strain,serovar,biovar,pathovar,mlst,segment,subtype,h_type,n_type,h1_clade_global,h1_clade_us,h5_clade,ph1n1_like,lineage,clade,subclade,other_typing,culture_collection,type_strain,reference_genome,genome_quality,completion_date,publication,authors,bioproject_accession,biosample_accession,assembly_accession,sra_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosome,plasmids,contigs,genome_length,gc_content,contig_l50,contig_n50,trna,rrna,mat_peptide,cds,coarse_consistency,fine_consistency,checkm_contamination,checkm_completeness,genome_quality_flags,isolation_source,isolation_comments,collection_date,collection_year,season,isolation_country,geographic_group,geographic_location,other_environmental,host_name,host_common_name,host_gender,host_age,host_health,host_group,lab_host,passage,other_clinical,additional_metadata,comments,date_inserted,date_modified
11060.4424,Dengue virus 2 DENV-2/CO/BID-V1599/1944,NA,11060,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;12637;11060,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Dengue virus;Dengue virus type 2,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Dengue virus,Complete,DENV-2/CO/BID-V1599/1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-05-22T00:00:00Z,NA,NA,PRJNA31235,NA,NA,NA,EU854293,Broad Institute,NA,NA,NA,NA,NA,NA,1,10633,46.092354,1,10633,NA,NA,NA,NA,NA,NA,NA,NA,NA,cell supernatant,NA,1944,1944,NA,Colombia,South America,Colombia: Antioquia,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,"Broad's Viral Genomics Initiative focuses on four viruses: HCV, HIV, Dengue, and WNV. The scale and specific aims of each project varies, but they all are centered on understanding sequence variation as it relates to disease outcome and how the viruses evolve under host immune pressure.",2021-01-19T19:04:28.414Z,2021-01-19T19:04:28.414Z
2935153.3,Ralstonia phage YO031_2,NA,2935153,10239;2731341;2731360;2731618;2731619;2788787;2935153,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified Caudoviricetes;Ralstonia phage YO031_2,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,NA,NA,NA,Ralstonia phage YO031_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-14T00:00:00Z,36199029,NA,PRJNA823737,NA,GCA_025838985.1,NA,ON170072,NA,NA,Illumina,NA,Unicycler v. 0.4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,potato,NA,1950,1950,NA,Colombia,South America,Colombia,NA,Ralstonia solanacearum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22T19:12:01.415Z,2022-11-22T19:12:01.415Z
1272950.3,Navarro virus Cali 874,NA,1272950,10239;2559587;2732396;2497569;2497570;2497574;11157;11270;35303;1272950,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;unclassified Rhabdoviridae;Navarro virus,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,,Navarro virus,Partial,Cali 874,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-01-09T00:00:00Z,23100368,NA,NA,NA,NA,NA,JX277013,NA,NA,,NA,NA,NA,NA,1,108,40.74074,1,108,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1956,1956,NA,Colombia,South America,Colombia,NA,Cathartes aura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-18T22:06:55.011Z,2021-01-18T22:06:55.011Z
80941.133,Guaroa virus CoH352111,NA,80941,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;1933274;80941,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Guaroa orthobunyavirus;Guaroa virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Guaroa orthobunyavirus,Complete,CoH352111,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-04-19T00:00:00Z,25695188,NA,NA,NA,NA,NA,KM245521,NA,NA,Sanger dideoxy sequencing,NA,NA,NA,NA,1,6824,33.16237,1,6824,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1956,1956,NA,Colombia,South America,Colombia,NA,Homo sapiens (asymptomatic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-13T08:05:55.980Z,2022-03-13T08:05:55.980Z
80941.132,Guaroa virus CoH352111,NA,80941,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;1933274;80941,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Guaroa orthobunyavirus;Guaroa virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Guaroa orthobunyavirus,Complete,CoH352111,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-04-19T00:00:00Z,25695188,NA,NA,NA,NA,NA,KM245520,NA,NA,Sanger dideoxy sequencing,NA,NA,NA,NA,1,4461,33.49025,1,4461,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1956,1956,NA,Colombia,South America,Colombia,NA,Homo sapiens (asymptomatic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-13T08:15:02.339Z,2022-03-13T08:15:02.339Z
80941.131,Guaroa virus CoH352111,NA,80941,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;1933274;80941,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Guaroa orthobunyavirus;Guaroa virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Guaroa orthobunyavirus,Complete,CoH352111,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-04-19T00:00:00Z,25695188,NA,NA,NA,NA,NA,KM245519,NA,NA,Sanger dideoxy sequencing,NA,NA,NA,NA,1,954,37.631027,1,954,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1956,1956,NA,Colombia,South America,Colombia,NA,Homo sapiens (asymptomatic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-13T07:56:53.316Z,2022-03-13T07:56:53.316Z
2935154.3,Ralstonia phage YO032_2,NA,2935154,10239;2731341;2731360;2731618;2731619;2946167;2960950;2935154,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Peduoviridae;unclassified Peduoviridae;Ralstonia phage YO032_2,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,NA,Peduoviridae,NA,Ralstonia phage YO032_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-14T00:00:00Z,36199029,NA,PRJNA823737,NA,GCA_025839015.1,NA,ON170073,NA,NA,Illumina,NA,Unicycler v. 0.4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heliconia caribaea,NA,1960,1960,NA,Colombia,South America,Colombia,NA,Ralstonia solanacearum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22T19:12:08.151Z,2022-11-22T19:12:08.151Z
11036.8,Venezuelan equine encephalitis virus VEEV/Equus ferus caballus/COL/V178/1961/IC,NA,11036,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11036,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Venezuelan equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Complete,VEEV/Equus ferus caballus/COL/V178/1961/IC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-02-17T00:00:00Z,NA,NA,PRJNA157941,NA,NA,NA,KC344484,J. Craig Venter Institute,NA,Illumina; 454,352.7x,clc_ref_assemble_long v. 3.20.50819,NA,NA,1,11354,50.264225,1,11354,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1961,1961,NA,Colombia,South America,Colombia: Cuninamarca,NA,Equus ferus caballus,Horse,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,"Venezuelan equine encephalitis virus (VEEV; Togaviridae: Alphavirus) is the most important emerging alphavirus pathogen of the Americas. This arbovirus is responsible for massive outbreaks involving hundreds-of-thousands of humans, equids and other domestic animals. Additionally, VEEV is currently classified as a select agent on the NIAID category B list of priority pathogens and also is being developed as a vaccine vector. The purpose of this project is to determine the complete genomes of VEEV strains with spatial and temporal representation selected from the World Reference Center for Emerging Viruses and Arboviruses (WRCEVA) collection and other resources. The VEEV genomes generated in this project will vastly increase the number of complete VEEV genomes available in NCBI, allowing for public health and basic science research in the fields of VEEV replication, pathogenesis, virulence, evolution and epidemiology.",2021-01-18T04:01:46.415Z,2021-01-18T04:01:46.415Z
206377.9,Buenaventura virus CoAr3319,NA,206377,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980418;11584;2734440;206377,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Phenuiviridae;Phlebovirus;Buenaventura phlebovirus;Buenaventura virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Phlebovirus,Buenaventura phlebovirus,Partial,CoAr3319,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reference,NA,2021-06-07T00:00:00Z,25934793,NA,PRJNA485481,NA,,NA,NC_055388,NA,NA,Sanger dideoxy sequencing; 454,NA,Geneious v. 8.0,NA,NA,1,4439,41.721107,1,4439,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1964,1964,NA,Colombia,South America,Colombia,NA,Sandfly,Sand fly,NA,NA,NA,Insect,,NA,NA,NA,NA,2022-05-01T01:38:45.043Z,2022-05-01T01:38:45.043Z
206377.8,Buenaventura virus CoAr3319,NA,206377,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980418;11584;2734440;206377,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Phenuiviridae;Phlebovirus;Buenaventura phlebovirus;Buenaventura virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Phlebovirus,Buenaventura phlebovirus,Partial,CoAr3319,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reference,NA,2021-06-07T00:00:00Z,25934793,NA,PRJNA485481,NA,,NA,NC_055387,NA,NA,Sanger dideoxy sequencing; 454,NA,Geneious v. 8.0,NA,NA,1,1786,40.649498,1,1786,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1964,1964,NA,Colombia,South America,Colombia,NA,Sandfly,Sand fly,NA,NA,NA,Insect,,NA,NA,NA,NA,2022-05-01T01:38:45.256Z,2022-05-01T01:38:45.256Z
