genome_id,genome_name,other_names,taxon_id,taxon_lineage_ids,taxon_lineage_names,superkingdom,kingdom,phylum,class,order,family,genus,species,genome_status,strain,serovar,biovar,pathovar,mlst,segment,subtype,h_type,n_type,h1_clade_global,h1_clade_us,h5_clade,ph1n1_like,lineage,clade,subclade,other_typing,culture_collection,type_strain,reference_genome,genome_quality,completion_date,publication,authors,bioproject_accession,biosample_accession,assembly_accession,sra_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosome,plasmids,contigs,genome_length,gc_content,contig_l50,contig_n50,trna,rrna,mat_peptide,cds,coarse_consistency,fine_consistency,checkm_contamination,checkm_completeness,genome_quality_flags,isolation_source,isolation_comments,collection_date,collection_year,season,isolation_country,geographic_group,geographic_location,other_environmental,host_name,host_common_name,host_gender,host_age,host_health,host_group,lab_host,passage,other_clinical,additional_metadata,comments,date_inserted,date_modified
12116.88,Foot-and-mouth disease virus - type C C2/Pando/URU/44,NA,12116,10239;2559587;2732396;2732408;2732506;464095;12058;2946627;12109;12110;12116,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Caphthovirinae;Aphthovirus;Foot-and-mouth disease virus;Foot and mouth disease virus C,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Aphthovirus,Foot-and-mouth disease virus,Partial,C2/Pando/URU/44,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-26T00:00:00Z,18397506,NA,NA,NA,NA,NA,EU553908,NA,NA,NA,NA,NA,NA,NA,1,630,55.555557,1,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,cell-culture supernatants,NA,1944,1944,NA,Uruguay,South America,Uruguay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-14T06:46:04.067Z,2021-01-14T06:46:04.067Z
387234.11,Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),NA,387234,10239;2559587;2732396;2497569;2497571;2497577;2499411;11308;197911;11320;119211;387234,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Influenza A virus;H3N8 subtype;Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Complete,A/equine/Uruguay/1/1963,H3N8,NA,NA,NA,NA,H3N8,3,8,NA,NA,NA,Negative,NA,NA,NA,NA,NA,NA,NA,NA,2006-07-10T00:00:00Z,2705299,NA,NA,NA,NA,NA,M24718,NA,NA,NA,NA,NA,NA,NA,1,1762,42.02158,1,1762,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1963,1963,NA,Uruguay,South America,Uruguay,NA,Equine,Horse,NA,NA,NA,Nonhuman Mammal,,,NA,NA,NA,2021-04-05T16:48:54.004Z,2021-04-05T16:48:54.004Z
387234.1,Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),NA,387234,10239;2559587;2732396;2497569;2497571;2497577;2499411;11308;197911;11320;119211;387234,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Influenza A virus;H3N8 subtype;Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Complete,A/equine/Uruguay/1/1963,H3N8,NA,NA,NA,1,H3N8,3,8,NA,NA,NA,Negative,NA,NA,NA,NA,NA,NA,NA,NA,2008-06-01T00:00:00Z,NA,NA,NA,NA,NA,NA,CY032428,NA,NA,NA,NA,NA,NA,NA,1,2300,44.739132,1,2300,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1963,1963,NA,Uruguay,South America,Uruguay,NA,Equine,Horse,NA,NA,NA,Nonhuman Mammal,P1 passage(s),P1,NA,NA,NA,2021-03-10T04:36:12.044Z,2021-03-10T04:36:12.044Z
387234.5,Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),NA,387234,10239;2559587;2732396;2497569;2497571;2497577;2499411;11308;197911;11320;119211;387234,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Influenza A virus;H3N8 subtype;Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Complete,A/equine/Uruguay/1/1963,H3N8,NA,NA,NA,6,H3N8,3,8,NA,NA,NA,Negative,NA,NA,NA,NA,NA,NA,NA,NA,2008-06-01T00:00:00Z,NA,NA,NA,NA,NA,NA,CY032423,NA,NA,NA,NA,NA,NA,NA,1,1426,43.758766,1,1426,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1963,1963,NA,Uruguay,South America,Uruguay,NA,Equine,Horse,NA,NA,NA,Nonhuman Mammal,P1 passage(s),P1,NA,NA,NA,2021-03-10T04:36:11.461Z,2021-03-10T04:36:11.461Z
387234.6,Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),NA,387234,10239;2559587;2732396;2497569;2497571;2497577;2499411;11308;197911;11320;119211;387234,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Influenza A virus;H3N8 subtype;Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Complete,A/equine/Uruguay/1/1963,H3N8,NA,NA,NA,5,H3N8,3,8,NA,NA,NA,Negative,NA,NA,NA,NA,NA,NA,NA,NA,2008-06-01T00:00:00Z,NA,NA,NA,NA,NA,NA,CY032424,NA,NA,NA,NA,NA,NA,NA,1,1523,47.275116,1,1523,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1963,1963,NA,Uruguay,South America,Uruguay,NA,Equine,Horse,NA,NA,NA,Nonhuman Mammal,P1 passage(s),P1,NA,NA,NA,2021-03-10T04:36:11.358Z,2021-03-10T04:36:11.358Z
387234.7,Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),NA,387234,10239;2559587;2732396;2497569;2497571;2497577;2499411;11308;197911;11320;119211;387234,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Influenza A virus;H3N8 subtype;Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Complete,A/equine/Uruguay/1/1963,H3N8,NA,NA,NA,8,H3N8,3,8,NA,NA,NA,Negative,NA,NA,NA,NA,NA,NA,NA,NA,2008-06-01T00:00:00Z,NA,NA,NA,NA,NA,NA,CY032425,NA,NA,NA,NA,NA,NA,NA,1,851,42.890717,1,851,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1963,1963,NA,Uruguay,South America,Uruguay,NA,Equine,Horse,NA,NA,NA,Nonhuman Mammal,P1 passage(s),P1,NA,NA,NA,2021-03-10T04:38:12.268Z,2021-03-10T04:38:12.268Z
387234.8,Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),NA,387234,10239;2559587;2732396;2497569;2497571;2497577;2499411;11308;197911;11320;119211;387234,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Influenza A virus;H3N8 subtype;Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Complete,A/equine/Uruguay/1/1963,H3N8,NA,NA,NA,3,H3N8,3,8,NA,NA,NA,Negative,NA,NA,NA,NA,NA,NA,NA,NA,2008-06-01T00:00:00Z,NA,NA,NA,NA,NA,NA,CY032426,NA,NA,NA,NA,NA,NA,NA,1,2192,43.476276,1,2192,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1963,1963,NA,Uruguay,South America,Uruguay,NA,Equine,Horse,NA,NA,NA,Nonhuman Mammal,P1 passage(s),P1,NA,NA,NA,2021-03-10T04:36:11.511Z,2021-03-10T04:36:11.511Z
387234.9,Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),NA,387234,10239;2559587;2732396;2497569;2497571;2497577;2499411;11308;197911;11320;119211;387234,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Influenza A virus;H3N8 subtype;Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Complete,A/equine/Uruguay/1/1963,H3N8,NA,NA,NA,2,H3N8,3,8,NA,NA,NA,Negative,NA,NA,NA,NA,NA,NA,NA,NA,2008-06-01T00:00:00Z,NA,NA,NA,NA,NA,NA,CY032427,NA,NA,NA,NA,NA,NA,NA,1,2303,44.59401,1,2303,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1963,1963,NA,Uruguay,South America,Uruguay,NA,Equine,Horse,NA,NA,NA,Nonhuman Mammal,P1 passage(s),P1,NA,NA,NA,2021-03-10T04:36:11.721Z,2021-03-10T04:36:11.721Z
387234.4,Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),NA,387234,10239;2559587;2732396;2497569;2497571;2497577;2499411;11308;197911;11320;119211;387234,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Influenza A virus;H3N8 subtype;Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Complete,A/equine/Uruguay/1/1963,H3N8,NA,NA,NA,7,H3N8,3,8,NA,NA,NA,Negative,NA,NA,NA,NA,NA,NA,NA,NA,2008-06-01T00:00:00Z,NA,NA,NA,NA,NA,NA,CY032422,NA,NA,NA,NA,NA,NA,NA,1,990,48.68687,1,990,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1963,1963,NA,Uruguay,South America,Uruguay,NA,Equine,Horse,NA,NA,NA,Nonhuman Mammal,P1 passage(s),P1,NA,NA,NA,2021-03-10T04:36:11.152Z,2021-03-10T04:36:11.152Z
387234.3,Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),NA,387234,10239;2559587;2732396;2497569;2497571;2497577;2499411;11308;197911;11320;119211;387234,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Influenza A virus;H3N8 subtype;Influenza A virus (A/equine/Uruguay/1/1963(H3N8)),Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Complete,A/equine/Uruguay/1/1963,H3N8,NA,NA,NA,4,H3N8,3,8,NA,NA,NA,Negative,NA,NA,NA,NA,NA,NA,NA,NA,2008-06-01T00:00:00Z,NA,NA,NA,NA,NA,NA,CY032421,NA,NA,NA,NA,NA,NA,NA,1,1718,42.02561,1,1718,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1963,1963,NA,Uruguay,South America,Uruguay,NA,Equine,Horse,NA,NA,NA,Nonhuman Mammal,P1 passage(s),P1,NA,NA,NA,2021-03-10T04:36:11.774Z,2021-03-10T04:36:11.774Z
