genome_id,genome_name,other_names,taxon_id,taxon_lineage_ids,taxon_lineage_names,superkingdom,kingdom,phylum,class,order,family,genus,species,genome_status,strain,serovar,biovar,pathovar,mlst,segment,subtype,h_type,n_type,h1_clade_global,h1_clade_us,h5_clade,ph1n1_like,lineage,clade,subclade,other_typing,culture_collection,type_strain,reference_genome,genome_quality,completion_date,publication,authors,bioproject_accession,biosample_accession,assembly_accession,sra_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosome,plasmids,contigs,genome_length,gc_content,contig_l50,contig_n50,trna,rrna,mat_peptide,cds,coarse_consistency,fine_consistency,checkm_contamination,checkm_completeness,genome_quality_flags,isolation_source,isolation_comments,collection_date,collection_year,season,isolation_country,geographic_group,geographic_location,other_environmental,host_name,host_common_name,host_gender,host_age,host_health,host_group,lab_host,passage,other_clinical,additional_metadata,comments,date_inserted,date_modified
2748236.7,Mirim-like virus 75V1183,NA,2748236,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;348018;2748236,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;unclassified Orthobunyavirus;Mirim-like virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Mirim-like virus,Complete,75V1183,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-12T00:00:00Z,33647063,NA,,NA,NA,NA,MK896637,,NA,,,,NA,NA,1,4501,33.63697,1,4501,NA,NA,NA,1,NA,NA,NA,NA,NA,Naranjal,NA,1974-08-21,1974,NA,Ecuador,South America,Ecuador,NA,Culex paracrybda,,NA,NA,NA,,Vero,NA,NA,NA,,2022-03-13T04:15:59.574Z,2022-03-13T04:15:59.574Z
2303487.12,Abras virus 75V1183,NA,2303487,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;2843616;2303487,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Abras orthobunyavirus;Abras virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Abras orthobunyavirus,Complete,75V1183,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-12T00:00:00Z,33647063,NA,,NA,NA,NA,MK896654,,NA,,,,NA,NA,1,1060,40.75472,1,1060,NA,NA,NA,2,NA,NA,NA,NA,NA,Naranjal,NA,1974-08-21,1974,NA,Ecuador,South America,Ecuador,NA,Culex paracrybda,,NA,NA,NA,,Vero,NA,NA,NA,,2022-03-13T04:12:57.826Z,2022-03-13T04:12:57.826Z
2303487.14,Abras virus 75V1183,NA,2303487,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;2843616;2303487,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Abras orthobunyavirus;Abras virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Abras orthobunyavirus,Complete,75V1183,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-12T00:00:00Z,33647063,NA,,NA,NA,NA,MK896656,,NA,,,,NA,NA,1,6839,33.031143,1,6839,NA,NA,NA,1,NA,NA,NA,NA,NA,Naranjal,NA,1974-08-21,1974,NA,Ecuador,South America,Ecuador,NA,Culex paracrybda,,NA,NA,NA,,Vero,NA,NA,NA,,2022-03-13T04:25:04.880Z,2022-03-13T04:25:04.880Z
2303487.13,Abras virus 75V1183,NA,2303487,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;2843616;2303487,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Abras orthobunyavirus;Abras virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Abras orthobunyavirus,Complete,75V1183,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-12T00:00:00Z,33647063,NA,,NA,NA,NA,MK896655,,NA,,,,NA,NA,1,4783,33.82814,1,4783,NA,NA,NA,1,NA,NA,NA,NA,NA,Naranjal,NA,1974-08-21,1974,NA,Ecuador,South America,Ecuador,NA,Culex paracrybda,,NA,NA,NA,,Vero,NA,NA,NA,,2022-03-13T04:25:05.354Z,2022-03-13T04:25:05.354Z
2748236.8,Mirim-like virus 75V1183,NA,2748236,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;348018;2748236,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;unclassified Orthobunyavirus;Mirim-like virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Mirim-like virus,Complete,75V1183,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-12T00:00:00Z,33647063,NA,,NA,NA,NA,MK896638,,NA,,,,NA,NA,1,6932,31.693594,1,6932,NA,NA,NA,1,NA,NA,NA,NA,NA,Naranjal,NA,1974-08-21,1974,NA,Ecuador,South America,Ecuador,NA,Culex paracrybda,,NA,NA,NA,,Vero,NA,NA,NA,,2022-03-13T04:37:11.208Z,2022-03-13T04:37:11.208Z
11021.896,Eastern equine encephalitis virus 75V1496,NA,11021,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11021,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Eastern equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Eastern equine encephalitis virus,Partial,75V1496,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-12-23T00:00:00Z,19889755,NA,,NA,NA,NA,GU001927,,NA,,,,NA,NA,1,3729,51.86377,1,3729,NA,NA,NA,1,NA,NA,NA,NA,NA,,NA,1974,1974,NA,Ecuador,South America,Ecuador,NA,mosquito,Mosquito,NA,NA,NA,Insect,,NA,NA,NA,,2021-01-18T08:52:57.922Z,2021-01-18T08:52:57.922Z
1440170.17,Madariaga virus MADV/X/ECU/75V1496/1974,NA,1440170,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;1440170,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Madariaga virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Madariaga virus,Complete,MADV/X/ECU/75V1496/1974,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-17T00:00:00Z,NA,NA,PRJNA183000,NA,NA,NA,KJ469601,J Craig Venter Institute,NA,Illumina,187.3x,clc_ref_assemble_long v. 3.22.55705,NA,NA,1,11607,49.849228,1,11607,NA,NA,NA,2,NA,NA,NA,NA,NA,,NA,1974,1974,NA,Ecuador,South America,Ecuador,NA,,,NA,NA,NA,,,NA,NA,NA,"Eastern equine encephalitis virus (EEEV) and Madariaga virus (MADV) are mosquito-borne alphaviruses (family,Togaviridae) of significant public and veterinary health importance throughout North, Central and South America. It has a single-stranded positive sense RNA genome of about 11,700 nt in length. EEEV causes a very debilitating disease in humans with case-fatality rates ranging between 50 and 75%, and for equids, rates can achieve as high as 80%. Despite hundreds of isolations and the significant public and veterinary health problem this virus poses, the majority of EEEV genetic studies primarily involved only partial gene sequences of the structural or non-structural genes. Only 10 complete genomes have been determined and deposited on GenBank to date and comparative genomics studies cannot be performed thoroughly. The proposed project aims to fill this gap in sequence data by elucidating the complete genomes for 100 EEEV strains that represent the entire geographic and temporal distribution of EEEV since its first isolation in the new world in 1933. The resultant genetic data generated in this study would allow researchers to: a) Characterize EEEV genetic diversity and describe its molecular epidemiology; b) Identify genetic determinants of EEEV emergence and virulence; c) Infer the demographic history and evolutionary dynamics of EEEV; d) Infer the evolution of virulence and pathogenesis throughout EEEV’s transmission history; e) Improve the ability to derive attenuated EEEV stains for vaccine development; f) generate infectious cDNA clones; g) Identify genetic factors underlying phenotypic differences among EEEV strains in the New World.",2021-01-18T05:09:44.427Z,2021-01-18T05:09:44.427Z
2303487.9,Abras virus 75V1183,NA,2303487,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;2843616;2303487,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Abras orthobunyavirus;Abras virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Abras orthobunyavirus,Partial,75V1183,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-27T00:00:00Z,29893199,NA,,NA,NA,NA,MH017269,,NA,Illumina,,ABySS v. 2.0.2,NA,NA,1,1073,40.633736,1,1073,NA,NA,NA,2,NA,NA,NA,NA,NA,,NA,1974-01-21,1974,NA,Ecuador,South America,Ecuador,NA,Culex paracrybda,,NA,NA,NA,,,NA,NA,NA,,2022-03-12T22:10:34.798Z,2022-03-12T22:10:34.798Z
2303487.1,Abras virus 75V1183,NA,2303487,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;2843616;2303487,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Abras orthobunyavirus;Abras virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Abras orthobunyavirus,Partial,75V1183,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-27T00:00:00Z,29893199,NA,,NA,NA,NA,MH017275,,NA,Illumina,,ABySS v. 2.0.2,NA,NA,1,6901,32.77786,1,6901,NA,NA,NA,1,NA,NA,NA,NA,NA,,NA,1974-08-21,1974,NA,Ecuador,South America,Ecuador,NA,Culex paracrybda,,NA,NA,NA,,,NA,NA,NA,,2022-03-12T22:22:40.379Z,2022-03-12T22:22:40.379Z
2303487.11,Abras virus 75V1183,NA,2303487,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;2843616;2303487,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Abras orthobunyavirus;Abras virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Abras orthobunyavirus,Partial,75V1183,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-08-27T00:00:00Z,29893199,NA,,NA,NA,NA,MH017281,,NA,Illumina,,ABySS v. 2.0.2,NA,NA,1,4777,34.2265,1,4777,NA,NA,NA,1,NA,NA,NA,NA,NA,,NA,1974-08-21,1974,NA,Ecuador,South America,Ecuador,NA,Culex paracrybda,,NA,NA,NA,,,NA,NA,NA,,2022-03-12T22:22:40.390Z,2022-03-12T22:22:40.390Z
