genome_id,genome_name,other_names,taxon_id,taxon_lineage_ids,taxon_lineage_names,superkingdom,kingdom,phylum,class,order,family,genus,species,genome_status,strain,serovar,biovar,pathovar,mlst,segment,subtype,h_type,n_type,h1_clade_global,h1_clade_us,h5_clade,ph1n1_like,lineage,clade,subclade,other_typing,culture_collection,type_strain,reference_genome,genome_quality,completion_date,publication,authors,bioproject_accession,biosample_accession,assembly_accession,sra_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosome,plasmids,contigs,genome_length,gc_content,contig_l50,contig_n50,trna,rrna,mat_peptide,cds,coarse_consistency,fine_consistency,checkm_contamination,checkm_completeness,genome_quality_flags,isolation_source,isolation_comments,collection_date,collection_year,season,isolation_country,geographic_group,geographic_location,other_environmental,host_name,host_common_name,host_gender,host_age,host_health,host_group,lab_host,passage,other_clinical,additional_metadata,comments,date_inserted,date_modified
348013.31,Madrid virus BT4075,NA,348013,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;1933291;348013,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Madrid orthobunyavirus;Madrid virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Madrid orthobunyavirus,Partial,BT4075,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2016-02-23T00:00:00Z,24505105,NA,,NA,NA,NA,KF254780,NA,NA,Sanger dideoxy sequencing; 454,NA,Roche GS software v. 2.5.3,NA,NA,1,4642,34.381733,1,4642,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1956,1956,NA,Panama,North America,Panama,NA,Homo sapiens,Human,male,36 years,NA,Human,NA,NA,NA,NA,NA,2022-03-13T04:37:10.878Z,2022-03-13T04:37:10.878Z
348013.32,Madrid virus BT4075,NA,348013,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;1933291;348013,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Madrid orthobunyavirus;Madrid virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Madrid orthobunyavirus,Partial,BT4075,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2016-02-23T00:00:00Z,24505105,NA,,NA,NA,NA,KF254781,NA,NA,Sanger dideoxy sequencing; 454,NA,Roche GS software v. 2.5.3,NA,NA,1,1090,39.08257,1,1090,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1956,1956,NA,Panama,North America,Panama,NA,Homo sapiens,Human,male,36 years,NA,Human,NA,NA,NA,NA,NA,2022-03-13T04:34:08.453Z,2022-03-13T04:34:08.453Z
348013.3,Madrid virus BT4075,NA,348013,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;1933291;348013,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Madrid orthobunyavirus;Madrid virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Madrid orthobunyavirus,Partial,BT4075,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2016-02-23T00:00:00Z,24505105,NA,,NA,NA,NA,KF254779,NA,NA,Sanger dideoxy sequencing; 454,NA,Roche GS software v. 2.5.3,NA,NA,1,6872,33.410942,1,6872,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1956,1956,NA,Panama,North America,Panama,NA,Homo sapiens,Human,male,36 years,NA,Human,NA,NA,NA,NA,NA,2022-03-13T04:52:17.491Z,2022-03-13T04:52:17.491Z
348013.21,Madrid virus BT4075,NA,348013,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;1933291;348013,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Madrid orthobunyavirus;Madrid virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Madrid orthobunyavirus,Partial,BT4075,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reference,NA,2018-08-13T00:00:00Z,24505105,NA,PRJNA485481,NA,NA,NA,NC_034498,NA,NA,Sanger dideoxy sequencing; 454,NA,Roche GS software v. 2.5.3,NA,NA,1,1090,39.08257,1,1090,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1956,1956,NA,Panama,North America,Panama,NA,Homo sapiens,Human,male,36 years,NA,Human,NA,NA,NA,NA,NA,2022-03-11T20:06:35.533Z,2022-03-11T20:06:35.533Z
348013.2,Madrid virus BT4075,NA,348013,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;1933291;348013,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Madrid orthobunyavirus;Madrid virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Madrid orthobunyavirus,Partial,BT4075,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reference,NA,2018-08-13T00:00:00Z,24505105,NA,PRJNA485481,NA,NA,NA,NC_034497,NA,NA,Sanger dideoxy sequencing; 454,NA,Roche GS software v. 2.5.3,NA,NA,1,6872,33.410942,1,6872,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1956,1956,NA,Panama,North America,Panama,NA,Homo sapiens,Human,male,36 years,NA,Human,NA,NA,NA,NA,NA,2022-03-11T20:24:38.955Z,2022-03-11T20:24:38.955Z
348013.22,Madrid virus BT4075,NA,348013,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;1933291;348013,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Madrid orthobunyavirus;Madrid virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Madrid orthobunyavirus,Partial,BT4075,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reference,NA,2018-08-13T00:00:00Z,24505105,NA,PRJNA485481,NA,NA,NA,NC_034505,NA,NA,Sanger dideoxy sequencing; 454,NA,Roche GS software v. 2.5.3,NA,NA,1,4642,34.381733,1,4642,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1956,1956,NA,Panama,North America,Panama,NA,Homo sapiens,Human,male,36 years,NA,Human,NA,NA,NA,NA,NA,2022-03-11T20:12:36.119Z,2022-03-11T20:12:36.119Z
2748244.8,Pacora virus J19,NA,2748244,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;39718;2748244,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;unclassified Peribunyaviridae;Pacora virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,,Pacora virus,Complete,J19,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2022-01-12T00:00:00Z,33647063,NA,,NA,,NA,MK896500,,NA,,,,NA,NA,1,6902,35.77224,1,6902,NA,NA,NA,1,NA,NA,NA,NA,NA,Pacora District,NA,1958-10-16,1958,NA,Panama,North America,Panama,NA,Adult female culex dunni,Mosquito,female,NA,NA,Insect,Mouse,NA,NA,NA,,2022-03-13T04:09:56.815Z,2022-03-13T04:09:56.815Z
2748244.6,Pacora virus J19,NA,2748244,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;39718;2748244,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;unclassified Peribunyaviridae;Pacora virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,,Pacora virus,Complete,J19,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2022-01-12T00:00:00Z,33647063,NA,,NA,,NA,MK896498,,NA,,,,NA,NA,1,1316,40.80547,1,1316,NA,NA,NA,1,NA,NA,NA,NA,NA,Pacora District,NA,1958-10-16,1958,NA,Panama,North America,Panama,NA,Adult female culex dunni,Mosquito,female,NA,NA,Insect,Mouse,NA,NA,NA,,2022-03-13T03:48:48.788Z,2022-03-13T03:48:48.788Z
2748244.7,Pacora virus J19,NA,2748244,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;39718;2748244,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;unclassified Peribunyaviridae;Pacora virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,,Pacora virus,Complete,J19,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2022-01-12T00:00:00Z,33647063,NA,,NA,,NA,MK896499,,NA,,,,NA,NA,1,4631,33.40531,1,4631,NA,NA,NA,1,NA,NA,NA,NA,NA,Pacora District,NA,1958-10-16,1958,NA,Panama,North America,Panama,NA,Adult female culex dunni,Mosquito,female,NA,NA,Insect,Mouse,NA,NA,NA,,2022-03-13T04:06:54.693Z,2022-03-13T04:06:54.693Z
1440170.11,Madariaga virus MADV/Equus ferus caballus/PAN/MARV207963/1958,NA,1440170,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;1440170,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Madariaga virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Madariaga virus,Complete,MADV/Equus ferus caballus/PAN/MARV207963/1958,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2014-03-17T00:00:00Z,NA,NA,PRJNA183000,NA,,NA,KJ469581,J Craig Venter Institute,NA,Illumina,194.9x,clc_ref_assemble_long v. 3.22.55705,NA,NA,1,11607,49.90092,1,11607,NA,NA,NA,2,NA,NA,NA,NA,NA,,NA,1958,1958,NA,Panama,North America,Panama,NA,Equus ferus caballus,Horse,,NA,NA,Nonhuman Mammal,,NA,NA,NA,"Eastern equine encephalitis virus (EEEV) and Madariaga virus (MADV) are mosquito-borne alphaviruses (family,Togaviridae) of significant public and veterinary health importance throughout North, Central and South America. It has a single-stranded positive sense RNA genome of about 11,700 nt in length. EEEV causes a very debilitating disease in humans with case-fatality rates ranging between 50 and 75%, and for equids, rates can achieve as high as 80%. Despite hundreds of isolations and the significant public and veterinary health problem this virus poses, the majority of EEEV genetic studies primarily involved only partial gene sequences of the structural or non-structural genes. Only 10 complete genomes have been determined and deposited on GenBank to date and comparative genomics studies cannot be performed thoroughly. The proposed project aims to fill this gap in sequence data by elucidating the complete genomes for 100 EEEV strains that represent the entire geographic and temporal distribution of EEEV since its first isolation in the new world in 1933. The resultant genetic data generated in this study would allow researchers to: a) Characterize EEEV genetic diversity and describe its molecular epidemiology; b) Identify genetic determinants of EEEV emergence and virulence; c) Infer the demographic history and evolutionary dynamics of EEEV; d) Infer the evolution of virulence and pathogenesis throughout EEEV’s transmission history; e) Improve the ability to derive attenuated EEEV stains for vaccine development; f) generate infectious cDNA clones; g) Identify genetic factors underlying phenotypic differences among EEEV strains in the New World.",2021-01-18T05:05:39.265Z,2021-01-18T05:05:39.265Z
