genome_id,genome_name,other_names,taxon_id,taxon_lineage_ids,taxon_lineage_names,superkingdom,kingdom,phylum,class,order,family,genus,species,genome_status,strain,serovar,biovar,pathovar,mlst,segment,subtype,h_type,n_type,h1_clade_global,h1_clade_us,h5_clade,ph1n1_like,lineage,clade,subclade,other_typing,culture_collection,type_strain,reference_genome,genome_quality,completion_date,publication,authors,bioproject_accession,biosample_accession,assembly_accession,sra_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosome,plasmids,contigs,genome_length,gc_content,contig_l50,contig_n50,trna,rrna,mat_peptide,cds,coarse_consistency,fine_consistency,checkm_contamination,checkm_completeness,genome_quality_flags,isolation_source,isolation_comments,collection_date,collection_year,season,isolation_country,geographic_group,geographic_location,other_environmental,host_name,host_common_name,host_gender,host_age,host_health,host_group,lab_host,passage,other_clinical,additional_metadata,comments,date_inserted,date_modified
2935231.3,Ralstonia phage YO089_1,NA,2935231,10239;2731341;2731360;2731618;2731619;10699;196894;2935231,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Siphoviridae;unclassified Siphoviridae;Ralstonia phage YO089_1,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,NA,Siphoviridae,,Ralstonia phage YO089_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-14T00:00:00Z,36199029,NA,PRJNA823737,NA,GCA_025840145.1,NA,ON170150,NA,NA,Illumina,NA,Unicycler v. 0.4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,banana,NA,1959,1959,NA,Honduras,North America,Honduras,NA,Ralstonia solanacearum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22T19:14:30.487Z,2022-11-22T19:14:30.487Z
2935232.3,Ralstonia phage YO089_2,NA,2935232,10239;2731341;2731360;2731618;2731619;2946167;2732972;2748757;2935232,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Peduoviridae;Aresaunavirus;unclassified Aresaunavirus;Ralstonia phage YO089_2,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,NA,Peduoviridae,Aresaunavirus,Ralstonia phage YO089_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-14T00:00:00Z,36199029,NA,PRJNA823737,NA,GCA_025840155.1,NA,ON170151,NA,NA,Illumina,NA,Unicycler v. 0.4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,banana,NA,1959,1959,NA,Honduras,North America,Honduras,NA,Ralstonia solanacearum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-22T19:14:45.092Z,2022-11-22T19:14:45.092Z
348009.24,Nepuyo virus HB7-451,NA,348009,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;1933307;348009,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Marituba orthobunyavirus;Nepuyo virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Marituba orthobunyavirus,Complete,HB7-451,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-12T00:00:00Z,33647063,NA,,NA,NA,NA,MK896514,,NA,,,,NA,NA,1,4505,35.072144,1,4505,NA,NA,NA,1,NA,NA,NA,NA,NA,"near Brus Laguna, area called Tweentanta, Honduras",NA,1967-04-27,1967,NA,Honduras,North America,Honduras,NA,Artibeus jamaicensis serum,,NA,NA,NA,,Mouse,NA,NA,NA,,2022-03-13T04:25:04.840Z,2022-03-13T04:25:04.840Z
11036.504,Venezuelan equine encephalitis virus VEEV/Mesocricetus auratus/HND/67U225/1967/IE,NA,11036,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11036,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Venezuelan equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Complete,VEEV/Mesocricetus auratus/HND/67U225/1967/IE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-02-17T00:00:00Z,NA,NA,PRJNA157941,NA,NA,NA,KC344444,J. Craig Venter Institute,NA,Sanger; Illumina; 454,109.7x,clc_ref_assemble_long v. 3.20.50819,NA,NA,1,11460,49.45899,1,11460,NA,NA,NA,2,NA,NA,NA,NA,NA,,NA,1967,1967,NA,Honduras,North America,Honduras: Pto. Cortez,NA,Mesocricetus auratus,Golden Hamster,NA,NA,NA,Nonhuman Mammal,,NA,NA,NA,"Venezuelan equine encephalitis virus (VEEV; Togaviridae: Alphavirus) is the most important emerging alphavirus pathogen of the Americas. This arbovirus is responsible for massive outbreaks involving hundreds-of-thousands of humans, equids and other domestic animals. Additionally, VEEV is currently classified as a select agent on the NIAID category B list of priority pathogens and also is being developed as a vaccine vector. The purpose of this project is to determine the complete genomes of VEEV strains with spatial and temporal representation selected from the World Reference Center for Emerging Viruses and Arboviruses (WRCEVA) collection and other resources. The VEEV genomes generated in this project will vastly increase the number of complete VEEV genomes available in NCBI, allowing for public health and basic science research in the fields of VEEV replication, pathogenesis, virulence, evolution and epidemiology.",2021-01-18T10:23:21.046Z,2021-01-18T10:23:21.046Z
11036.516,Venezuelan equine encephalitis virus VEEV/Mesocricetus auratus/HND/67U208/1967/IE,NA,11036,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11036,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Venezuelan equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Complete,VEEV/Mesocricetus auratus/HND/67U208/1967/IE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-02-17T00:00:00Z,NA,NA,PRJNA157941,NA,NA,NA,KC344456,J. Craig Venter Institute,NA,Sanger; Illumina; 454,155.3x,clc_ref_assemble_long v. 3.20.50819,NA,NA,1,11388,49.40288,1,11388,NA,NA,NA,2,NA,NA,NA,NA,NA,,NA,1967,1967,NA,Honduras,North America,Honduras,NA,Mesocricetus auratus,Golden Hamster,NA,NA,NA,Nonhuman Mammal,,NA,NA,NA,"Venezuelan equine encephalitis virus (VEEV; Togaviridae: Alphavirus) is the most important emerging alphavirus pathogen of the Americas. This arbovirus is responsible for massive outbreaks involving hundreds-of-thousands of humans, equids and other domestic animals. Additionally, VEEV is currently classified as a select agent on the NIAID category B list of priority pathogens and also is being developed as a vaccine vector. The purpose of this project is to determine the complete genomes of VEEV strains with spatial and temporal representation selected from the World Reference Center for Emerging Viruses and Arboviruses (WRCEVA) collection and other resources. The VEEV genomes generated in this project will vastly increase the number of complete VEEV genomes available in NCBI, allowing for public health and basic science research in the fields of VEEV replication, pathogenesis, virulence, evolution and epidemiology.",2021-01-18T10:27:24.235Z,2021-01-18T10:27:24.235Z
11036.455,Venezuelan equine encephalitis virus 67U225,NA,11036,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11036,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Venezuelan equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Partial,67U225,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-11-18T00:00:00Z,23133685,NA,,NA,NA,NA,JQ859937,,NA,Sanger dideoxy sequencing,,Sequencher v. 4.9,NA,NA,1,1677,50.149075,1,1677,NA,NA,NA,1,NA,NA,NA,NA,NA,,NA,1967,1967,NA,Honduras,North America,Honduras,NA,hamster,Hamster,NA,NA,NA,Nonhuman Mammal,,NA,NA,NA,,2021-01-18T08:57:05.062Z,2021-01-18T08:57:05.062Z
348009.25,Nepuyo virus HB7-451,NA,348009,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;1933307;348009,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Marituba orthobunyavirus;Nepuyo virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Marituba orthobunyavirus,Complete,HB7-451,NA,NA,NA,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-12T00:00:00Z,33647063,NA,,NA,NA,NA,MK896515,,NA,,,,NA,NA,1,6850,33.10949,1,6850,NA,NA,NA,1,NA,NA,NA,NA,NA,"near Brus Laguna, area called Tweentanta, Honduras",NA,1967-04-27,1967,NA,Honduras,North America,Honduras,NA,Artibeus jamaicensis serum,,NA,NA,NA,,Mouse,NA,NA,NA,,2022-03-13T04:03:54.404Z,2022-03-13T04:03:54.404Z
348009.23,Nepuyo virus HB7-451,NA,348009,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;1933307;348009,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Marituba orthobunyavirus;Nepuyo virus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Marituba orthobunyavirus,Complete,HB7-451,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-12T00:00:00Z,33647063,NA,,NA,NA,NA,MK896513,,NA,,,,NA,NA,1,989,41.55713,1,989,NA,NA,NA,2,NA,NA,NA,NA,NA,"near Brus Laguna, area called Tweentanta, Honduras",NA,1967-04-27,1967,NA,Honduras,North America,Honduras,NA,Artibeus jamaicensis serum,,NA,NA,NA,,Mouse,NA,NA,NA,,2022-03-13T03:51:49.372Z,2022-03-13T03:51:49.372Z
12074.1446,Coxsackievirus B5 1041,NA,12074,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138949;12074,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus B;Coxsackievirus B5,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,Enterovirus B,Partial,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-09-18T00:00:00Z,20631132,NA,NA,NA,NA,NA,GU300054,NA,NA,NA,NA,NA,NA,NA,1,849,49.705536,1,849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979,1979,NA,Honduras,North America,Honduras,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2021-01-16T08:35:50.989Z,2021-01-16T08:35:50.989Z
11277.118,Vesicular stomatitis Indiana virus Hon83B/L-2-83,NA,11277,10239;2559587;2732396;2497569;2497570;2497574;11157;11270;2842407;11271;1972577;11277,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Vesiculovirus;Vesiculovirus indiana;Vesicular stomatitis Indiana virus,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Vesiculovirus,Vesiculovirus indiana,Partial,Hon83B/L-2-83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-09T00:00:00Z,NA,NA,NA,NA,NA,NA,MK934320,NA,NA,Illumina,NA,CLC genomics workbench v. 7.5.2,NA,NA,1,11130,41.526985,1,11130,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1983-11-01,1983,NA,Honduras,North America,Honduras,NA,Bovine,Cow,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2021-01-18T21:34:12.524Z,2021-01-18T21:34:12.524Z
