genome_id,genome_name,other_names,taxon_id,taxon_lineage_ids,taxon_lineage_names,superkingdom,kingdom,phylum,class,order,family,genus,species,genome_status,strain,serovar,biovar,pathovar,mlst,segment,subtype,h_type,n_type,h1_clade_global,h1_clade_us,h5_clade,ph1n1_like,lineage,clade,subclade,other_typing,culture_collection,type_strain,reference_genome,genome_quality,completion_date,publication,authors,bioproject_accession,biosample_accession,assembly_accession,sra_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosome,plasmids,contigs,genome_length,gc_content,contig_l50,contig_n50,trna,rrna,mat_peptide,cds,coarse_consistency,fine_consistency,checkm_contamination,checkm_completeness,genome_quality_flags,isolation_source,isolation_comments,collection_date,collection_year,season,isolation_country,geographic_group,geographic_location,other_environmental,host_name,host_common_name,host_gender,host_age,host_health,host_group,lab_host,passage,other_clinical,additional_metadata,comments,date_inserted,date_modified
11096.2343,Classical swine fever virus CSF0705 Margarita,NA,11096,10239;2559587;2732396;2732406;2732462;2732545;11050;11095;2170082;11096,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Pestivirus;Pestivirus C;Classical swine fever virus,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Pestivirus,Pestivirus C,Partial,CSF0705 Margarita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-08-19T00:00:00Z,22902191,NA,NA,NA,NA,NA,JX028201,NA,NA,Sanger dideoxy sequencing,NA,Husar v. v. 5.0; GENtle v. v. 1.9.4,NA,NA,1,3360,48.035713,1,3360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1958,1958,NA,Cuba,North America,Cuba,NA,domestic pig,Pig,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2021-01-19T23:13:56.790Z,2021-01-19T23:13:56.790Z
11096.3245,Classical swine fever virus CSF0705,NA,11096,10239;2559587;2732396;2732406;2732462;2732545;11050;11095;2170082;11096,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Pestivirus;Pestivirus C;Classical swine fever virus,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Pestivirus,Pestivirus C,Partial,CSF0705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-09-22T00:00:00Z,NA,NA,NA,NA,NA,NA,KM000008,NA,NA,Sanger dideoxy sequencing,NA,HUSAR v. 5.0; GENtle v. 1.9.4,NA,NA,1,409,48.65526,1,409,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1958,1958,NA,Cuba,North America,Cuba: Margarita,NA,Domestic pig,Pig,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2021-10-12T18:57:03.235Z,2021-10-12T18:57:03.235Z
11096.1923,Classical swine fever virus Margarita,NA,11096,10239;2559587;2732396;2732406;2732462;2732545;11050;11095;2170082;11096,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Pestivirus;Pestivirus C;Classical swine fever virus,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Pestivirus,Pestivirus C,Partial,Margarita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-03-04T00:00:00Z,NA,NA,NA,NA,NA,NA,KP087923,NA,NA,Sanger dideoxy sequencing,NA,,NA,NA,1,2070,48.16425,1,2070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1958,1958,NA,Cuba,North America,Cuba,NA,swine,Pig,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2021-01-19T14:28:22.281Z,2021-01-19T14:28:22.281Z
11039.14,Western equine encephalitis virus CU71-CPA,NA,11039,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11039,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Western equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Western equine encephalitis virus,Complete,CU71-CPA,Not Applicable,NA,Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genotype:Not Applicable,NA,NA,NA,NA,2017-03-25T00:00:00Z,NA,NA,PRJNA257008,SAMN04017551,NA,NA,KT844545,MRIGlobal,NA,Illumina HiSeq1500,7727.82x,Trimmomatic v. 0.32; SGA v. 0.10.13;,NA,NA,1,11559,49.095943,1,11559,NA,NA,NA,2,NA,NA,NA,NA,NA,Not Applicable,NA,1971,1971,NA,Cuba,North America,Cuba,NA,,,NA,NA,Western Equine Encephalomyelitis,,NA,"wc+1, de+1, sm+1, V+1",NA,lab_host:Vero cells,"The purpose of this BioProject is to prepare high quality genome sequences of various human, animal, and plant pathogens that will support microbial forensics, biosurveillance and public health",2021-01-18T07:43:04.085Z,2021-01-18T07:43:04.085Z
10497.2369,African swine fever virus,NA,10497,10239;2732004;2732005;2732007;2732525;2732526;137992;39743;10497,Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Asfuvirales;Asfarviridae;Asfivirus;African swine fever virus,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,Asfarviridae,Asfivirus,African swine fever virus,Partial,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,2015-04-02T00:00:00Z,25524164,NA,,,NA,NA,KM609366,,NA,Sanger dideoxy sequencing,,phrap v. 1.090518,NA,NA,1,501,20.958084,1,501,NA,NA,NA,1,NA,NA,NA,NA,NA,,NA,1971,1971,NA,Cuba,North America,Cuba,NA,Suidae,Pig,NA,NA,,Nonhuman Mammal,NA,,NA,,,2020-12-25T03:54:22.043Z,2020-12-25T03:54:22.043Z
11320.213853,Influenza A virus A/Habana/1040/1972,NA,11320,10239;2559587;2732396;2497569;2497571;2497577;2499411;11308;197911;11320,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Influenza A virus,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Partial,A/Habana/1040/1972,H3N2,NA,NA,NA,4,H3N2,3,2,NA,NA,NA,Negative,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-05T00:00:00Z,NA,NA,NA,NA,NA,NA,MK028560,NA,NA,Illumina,NA,Cap.V.2.0. Illumina v. Illumina,NA,NA,1,907,44.652702,1,907,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1972-10-05,1972,NA,Cuba,North America,Cuba,NA,Homo sapiens,Human,male,NA,NA,Human,NA,embryoned chicken Eggs; E1; case,NA,NA,NA,2021-04-12T07:25:15.768Z,2021-04-12T07:25:15.768Z
1300113.65,Anguillid perhabdovirus J6BF4,NA,1300113,10239;2559587;2732396;2497569;2497570;2497574;11157;11270;2842407;1298653;1300113,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Perhabdovirus;Perhabdovirus anguilla,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Perhabdovirus,Perhabdovirus anguilla,Partial,J6BF4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-26T00:00:00Z,25081977,NA,NA,NA,NA,NA,KJ600701,NA,NA,Sanger dideoxy sequencing,NA,VectorNTI v. 11.5,NA,NA,1,828,43.719807,1,828,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1974,1974,NA,Cuba,North America,Cuba,NA,Anguilla rostrata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-18T18:33:40.631Z,2021-01-18T18:33:40.631Z
1300113.83,Anguillid perhabdovirus J6BF4,NA,1300113,10239;2559587;2732396;2497569;2497570;2497574;11157;11270;2842407;1298653;1300113,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Perhabdovirus;Perhabdovirus anguilla,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Perhabdovirus,Perhabdovirus anguilla,Partial,J6BF4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-26T00:00:00Z,25081977,NA,NA,NA,NA,NA,KJ600730,NA,NA,Sanger dideoxy sequencing,NA,VectorNTI v. 11.5,NA,NA,1,1167,44.13025,1,1167,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1974,1974,NA,Cuba,North America,Cuba,NA,Anguilla rostrata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-18T18:37:45.668Z,2021-01-18T18:37:45.668Z
1300113.123,Anguillid perhabdovirus J6BF4,NA,1300113,10239;2559587;2732396;2497569;2497570;2497574;11157;11270;2842407;1298653;1300113,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Perhabdovirus;Perhabdovirus anguilla,Viruses,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Perhabdovirus,Perhabdovirus anguilla,Partial,J6BF4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-26T00:00:00Z,25081977,NA,NA,NA,NA,NA,KJ600770,NA,NA,Sanger dideoxy sequencing,NA,VectorNTI v. 11.5,NA,NA,1,1287,48.87335,1,1287,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1974,1974,NA,Cuba,North America,Cuba,NA,Anguilla rostrata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-18T18:46:00.092Z,2021-01-18T18:46:00.092Z
35244.78,Bovine alphaherpesvirus 5 B4180,NA,35244,10239;2731341;2731360;2731361;2731363;548681;10292;10293;10319;35244,Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus;Bovine alphaherpesvirus 5,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,Bovine alphaherpesvirus 5,Partial,B4180,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,2012-06-28T00:00:00Z,22622433,NA,NA,NA,NA,NA,HQ830196,NA,NA,,NA,,NA,NA,1,157,78.34395,1,157,NA,NA,NA,1,NA,NA,NA,NA,NA,semen,NA,1976-06-22,1976,NA,Cuba,North America,Cuba,NA,Bovine,Cow,,NA,NA,Nonhuman Mammal,NA,,NA,NA,NA,2021-01-10T12:55:19.107Z,2021-01-10T12:55:19.107Z
