genome_id,genome_name,other_names,taxon_id,taxon_lineage_ids,taxon_lineage_names,superkingdom,kingdom,phylum,class,order,family,genus,species,genome_status,strain,serovar,biovar,pathovar,mlst,segment,subtype,h_type,n_type,h1_clade_global,h1_clade_us,h5_clade,ph1n1_like,lineage,clade,subclade,other_typing,culture_collection,type_strain,reference_genome,genome_quality,completion_date,publication,authors,bioproject_accession,biosample_accession,assembly_accession,sra_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosome,plasmids,contigs,genome_length,gc_content,contig_l50,contig_n50,trna,rrna,mat_peptide,cds,coarse_consistency,fine_consistency,checkm_contamination,checkm_completeness,genome_quality_flags,isolation_source,isolation_comments,collection_date,collection_year,season,isolation_country,geographic_group,geographic_location,other_environmental,host_name,host_common_name,host_gender,host_age,host_health,host_group,lab_host,passage,other_clinical,additional_metadata,comments,date_inserted,date_modified
11036.495,Venezuelan equine encephalitis virus VEEV/Mesocricetus auratus/GTM/68U200/1968/IE,NA,11036,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11036,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Venezuelan equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Complete,VEEV/Mesocricetus auratus/GTM/68U200/1968/IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-02-17T00:00:00Z,NA,NA,PRJNA157941,NA,NA,NA,KC344435,J. Craig Venter Institute,NA,Illumina; 454,207.0x,clc_ref_assemble_long v. 3.20.50819,NA,NA,1,11314,49.36362,1,11314,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1968,1968,NA,Guatemala,North America,"Guatemala: La Avellana, Santa Rosa Department",NA,Mesocricetus auratus,Golden Hamster,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,"Venezuelan equine encephalitis virus (VEEV; Togaviridae: Alphavirus) is the most important emerging alphavirus pathogen of the Americas. This arbovirus is responsible for massive outbreaks involving hundreds-of-thousands of humans, equids and other domestic animals. Additionally, VEEV is currently classified as a select agent on the NIAID category B list of priority pathogens and also is being developed as a vaccine vector. The purpose of this project is to determine the complete genomes of VEEV strains with spatial and temporal representation selected from the World Reference Center for Emerging Viruses and Arboviruses (WRCEVA) collection and other resources. The VEEV genomes generated in this project will vastly increase the number of complete VEEV genomes available in NCBI, allowing for public health and basic science research in the fields of VEEV replication, pathogenesis, virulence, evolution and epidemiology.",2021-01-18T10:17:14.991Z,2021-01-18T10:17:14.991Z
11036.502,Venezuelan equine encephalitis virus VEEV/Mesocricetus auratus/GTM/68U217/1968/IE,NA,11036,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11036,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Venezuelan equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Complete,VEEV/Mesocricetus auratus/GTM/68U217/1968/IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-02-17T00:00:00Z,NA,NA,PRJNA157941,NA,NA,NA,KC344442,J. Craig Venter Institute,NA,Sanger; Illumina; 454,360.2x,clc_ref_assemble_long v. 3.20.50819,NA,NA,1,11457,49.32356,1,11457,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1968,1968,NA,Guatemala,North America,"Guatemala: Puerto Barrios, Izabal Department",NA,Mesocricetus auratus,Golden Hamster,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,"Venezuelan equine encephalitis virus (VEEV; Togaviridae: Alphavirus) is the most important emerging alphavirus pathogen of the Americas. This arbovirus is responsible for massive outbreaks involving hundreds-of-thousands of humans, equids and other domestic animals. Additionally, VEEV is currently classified as a select agent on the NIAID category B list of priority pathogens and also is being developed as a vaccine vector. The purpose of this project is to determine the complete genomes of VEEV strains with spatial and temporal representation selected from the World Reference Center for Emerging Viruses and Arboviruses (WRCEVA) collection and other resources. The VEEV genomes generated in this project will vastly increase the number of complete VEEV genomes available in NCBI, allowing for public health and basic science research in the fields of VEEV replication, pathogenesis, virulence, evolution and epidemiology.",2021-01-18T10:23:22.216Z,2021-01-18T10:23:22.216Z
11021.893,Eastern equine encephalitis virus 68U231,NA,11021,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11021,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Eastern equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Eastern equine encephalitis virus,Partial,68U231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-12-23T00:00:00Z,19889755,NA,,NA,NA,NA,GU001925,,NA,,,,NA,NA,1,3729,51.676052,1,3729,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1968,1968,NA,Guatemala,North America,Guatemala,NA,hamster,Hamster,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,,2021-01-18T08:52:57.416Z,2021-01-18T08:52:57.416Z
1440170.13,Madariaga virus MADV/Mesocricetus/GTM/68U230/1968,NA,1440170,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;1440170,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Madariaga virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Madariaga virus,Complete,MADV/Mesocricetus/GTM/68U230/1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-17T00:00:00Z,NA,NA,PRJNA183000,NA,NA,NA,KJ469589,J Craig Venter Institute,NA,Illumina,181.3x,clc_ref_assemble_long v. 3.22.55705,NA,NA,1,11582,49.352444,1,11582,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1968,1968,NA,Guatemala,North America,Guatemala,NA,Mesocricetus,,NA,NA,NA,,NA,NA,NA,NA,"Eastern equine encephalitis virus (EEEV) and Madariaga virus (MADV) are mosquito-borne alphaviruses (family,Togaviridae) of significant public and veterinary health importance throughout North, Central and South America. It has a single-stranded positive sense RNA genome of about 11,700 nt in length. EEEV causes a very debilitating disease in humans with case-fatality rates ranging between 50 and 75%, and for equids, rates can achieve as high as 80%. Despite hundreds of isolations and the significant public and veterinary health problem this virus poses, the majority of EEEV genetic studies primarily involved only partial gene sequences of the structural or non-structural genes. Only 10 complete genomes have been determined and deposited on GenBank to date and comparative genomics studies cannot be performed thoroughly. The proposed project aims to fill this gap in sequence data by elucidating the complete genomes for 100 EEEV strains that represent the entire geographic and temporal distribution of EEEV since its first isolation in the new world in 1933. The resultant genetic data generated in this study would allow researchers to: a) Characterize EEEV genetic diversity and describe its molecular epidemiology; b) Identify genetic determinants of EEEV emergence and virulence; c) Infer the demographic history and evolutionary dynamics of EEEV; d) Infer the evolution of virulence and pathogenesis throughout EEEV’s transmission history; e) Improve the ability to derive attenuated EEEV stains for vaccine development; f) generate infectious cDNA clones; g) Identify genetic factors underlying phenotypic differences among EEEV strains in the New World.",2021-01-18T05:05:38.863Z,2021-01-18T05:05:38.863Z
11080.381,Saint Louis encephalitis virus GMO 94,NA,11080,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;11080,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Saint Louis encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Saint Louis encephalitis virus,Partial,GMO 94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2016-07-26T00:00:00Z,NA,NA,,NA,,NA,EU088421,,NA,,,,NA,NA,1,930,49.677418,1,930,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1969,1969,NA,Guatemala,North America,Guatemala,NA,Culex nigripalpus,Mosquito,NA,NA,NA,Insect,NA,NA,NA,NA,,2021-10-12T18:06:59.234Z,2021-10-12T18:06:59.234Z
64299.4,Jutiapa virus JG-128,NA,64299,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;64299,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Jutiapa virus,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Jutiapa virus,Complete,JG-128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reference,NA,2019-05-23T00:00:00Z,25719412,NA,PRJNA485481,NA,GCA_000955135.1,NA,NC_026620,NCBI,NA,IonTorrent; Sanger dideoxy sequencing,,Sequencher v. 5.1,NA,NA,1,10125,45.530865,1,10125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,1969,NA,Guatemala,North America,Guatemala,NA,Sigmodon hispidus,,NA,NA,NA,,NA,NA,NA,NA,"NCBI Virus RefSeqs The NCBI RefSeq project leverages the data submitted to the International Nucleotide Sequence Database Collaboration (INSDC) against a combination of computational, manual curation, and collaboration to produce a standard set of stable, non-redundant reference sequences. In general, only one complete RefSeq genome is created for each viral species. Occasionally multiple RefSeq records are created within a given viral species to reflect well defined genotypes or important laboratory and/or wild strains. Also, a separate RefSeq record is created for each segment in segmented viral genomes. Often the first genome submitted to INSDC databases is chosen as a RefSeq, but when possible, preference is given to sequences from strains or isolates of practical importance and/or well-annotated sequences.",2020-12-26T15:50:03.318Z,2020-12-26T15:50:03.318Z
11036.29,Venezuelan equine encephalitis virus VEEV/Homo sapiens/GTM/69Z1/1969/IAB,NA,11036,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11036,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Venezuelan equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Complete,VEEV/Homo sapiens/GTM/69Z1/1969/IAB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2016-02-11T00:00:00Z,NA,NA,PRJNA157941,NA,,NA,KC344505,J. Craig Venter Institute,NA,454,852.1x,clc_ref_assemble_long v. 3.22.55705,NA,NA,1,11412,49.886086,1,11412,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1969,1969,NA,Guatemala,North America,Guatemala,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,"Venezuelan equine encephalitis virus (VEEV; Togaviridae: Alphavirus) is the most important emerging alphavirus pathogen of the Americas. This arbovirus is responsible for massive outbreaks involving hundreds-of-thousands of humans, equids and other domestic animals. Additionally, VEEV is currently classified as a select agent on the NIAID category B list of priority pathogens and also is being developed as a vaccine vector. The purpose of this project is to determine the complete genomes of VEEV strains with spatial and temporal representation selected from the World Reference Center for Emerging Viruses and Arboviruses (WRCEVA) collection and other resources. The VEEV genomes generated in this project will vastly increase the number of complete VEEV genomes available in NCBI, allowing for public health and basic science research in the fields of VEEV replication, pathogenesis, virulence, evolution and epidemiology.",2021-01-18T04:07:57.594Z,2021-01-18T04:07:57.594Z
64299.6,Jutiapa virus JG-128,NA,64299,10239;2559587;2732396;2732406;2732462;2732545;11050;11051;64299,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Flavivirus;Jutiapa virus,Viruses,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,Jutiapa virus,Complete,JG-128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2015-03-03T00:00:00Z,25719412,NA,,NA,GCA_000955135.1,NA,KJ469371,,NA,IonTorrent; Sanger dideoxy sequencing,,Sequencher v. 5.1,NA,NA,1,10125,45.530865,1,10125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,1969,NA,Guatemala,North America,Guatemala,NA,Sigmodon hispidus,,NA,NA,NA,,NA,NA,NA,NA,,2021-01-19T14:32:40.715Z,2021-01-19T14:32:40.715Z
11036.496,Venezuelan equine encephalitis virus VEEV/Mesocricetus auratus/GTM/70U55/1970/IE,NA,11036,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11036,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Venezuelan equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Complete,VEEV/Mesocricetus auratus/GTM/70U55/1970/IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-02-17T00:00:00Z,NA,NA,PRJNA157941,NA,NA,NA,KC344436,J. Craig Venter Institute,NA,Sanger; Illumina; 454,10.7x,clc_ref_assemble_long v. 3.20.50819,NA,NA,1,11454,49.23171,1,11454,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1970-08,1970,NA,Guatemala,North America,"Guatemala: La Avellana, Santa Rosa Department",NA,Mesocricetus auratus,Golden Hamster,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,"Venezuelan equine encephalitis virus (VEEV; Togaviridae: Alphavirus) is the most important emerging alphavirus pathogen of the Americas. This arbovirus is responsible for massive outbreaks involving hundreds-of-thousands of humans, equids and other domestic animals. Additionally, VEEV is currently classified as a select agent on the NIAID category B list of priority pathogens and also is being developed as a vaccine vector. The purpose of this project is to determine the complete genomes of VEEV strains with spatial and temporal representation selected from the World Reference Center for Emerging Viruses and Arboviruses (WRCEVA) collection and other resources. The VEEV genomes generated in this project will vastly increase the number of complete VEEV genomes available in NCBI, allowing for public health and basic science research in the fields of VEEV replication, pathogenesis, virulence, evolution and epidemiology.",2021-01-18T10:21:18.994Z,2021-01-18T10:21:18.994Z
11036.503,Venezuelan equine encephalitis virus VEEV/Mesocricetus auratus/GTM/70U74/1970/IE,NA,11036,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;11036,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Venezuelan equine encephalitis virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Complete,VEEV/Mesocricetus auratus/GTM/70U74/1970/IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-02-17T00:00:00Z,NA,NA,PRJNA157941,NA,NA,NA,KC344443,J. Craig Venter Institute,NA,Illumina; 454,241.4x,clc_ref_assemble_long v. 3.20.50819,NA,NA,1,11324,49.611446,1,11324,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1970-08,1970,NA,Guatemala,North America,"Guatemala: Puerto Barrios, Izabal Department",NA,Mesocricetus auratus,Golden Hamster,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,"Venezuelan equine encephalitis virus (VEEV; Togaviridae: Alphavirus) is the most important emerging alphavirus pathogen of the Americas. This arbovirus is responsible for massive outbreaks involving hundreds-of-thousands of humans, equids and other domestic animals. Additionally, VEEV is currently classified as a select agent on the NIAID category B list of priority pathogens and also is being developed as a vaccine vector. The purpose of this project is to determine the complete genomes of VEEV strains with spatial and temporal representation selected from the World Reference Center for Emerging Viruses and Arboviruses (WRCEVA) collection and other resources. The VEEV genomes generated in this project will vastly increase the number of complete VEEV genomes available in NCBI, allowing for public health and basic science research in the fields of VEEV replication, pathogenesis, virulence, evolution and epidemiology.",2021-01-18T10:19:17.590Z,2021-01-18T10:19:17.590Z
