genome_id,genome_name,other_names,taxon_id,taxon_lineage_ids,taxon_lineage_names,superkingdom,kingdom,phylum,class,order,family,genus,species,genome_status,strain,serovar,biovar,pathovar,mlst,segment,subtype,h_type,n_type,h1_clade_global,h1_clade_us,h5_clade,ph1n1_like,lineage,clade,subclade,other_typing,culture_collection,type_strain,reference_genome,genome_quality,completion_date,publication,authors,bioproject_accession,biosample_accession,assembly_accession,sra_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosome,plasmids,contigs,genome_length,gc_content,contig_l50,contig_n50,trna,rrna,mat_peptide,cds,coarse_consistency,fine_consistency,checkm_contamination,checkm_completeness,genome_quality_flags,isolation_source,isolation_comments,collection_date,collection_year,season,isolation_country,geographic_group,geographic_location,other_environmental,host_name,host_common_name,host_gender,host_age,host_health,host_group,lab_host,passage,other_clinical,additional_metadata,comments,date_inserted,date_modified
59301.13,Mayaro virus Uruma,NA,59301,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;59301,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Mayaro virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Mayaro virus,Complete,Uruma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-20T00:00:00Z,NA,NA,NA,NA,NA,NA,MK573246,NA,NA,Illumina,NA,Geneious Prime v. 2019.0.4,NA,NA,1,11206,50.98302,1,11206,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1955,1955,NA,Bolivia,South America,Bolivia,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2021-01-18T04:05:56.007Z,2021-01-18T04:05:56.007Z
59301.218,Mayaro virus NR-49914,NA,59301,10239;2559587;2732396;2732406;2732461;2732544;11018;11019;59301,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus;Mayaro virus,Viruses,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Mayaro virus,Partial,NR-49914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-23T00:00:00Z,NA,NA,NA,NA,NA,NA,MZ962428,NA,NA,Sanger dideoxy sequencing,NA,,NA,NA,1,2727,51.74184,1,2727,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Mar-1955,1955,NA,Bolivia,South America,Bolivia: Uruma,NA,Homo sapiens,Human,NA,NA,NA,Human,NA,NA,NA,NA,NA,2022-11-25T19:00:13.577Z,2022-11-25T19:00:13.577Z
11628.33,Machupo mammarenavirus Calomys 221600,NA,11628,10239;2559587;2732396;2497569;2497571;2497576;1980410;11617;1653394;11628,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Arenaviridae;Mammarenavirus;Machupo mammarenavirus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus,Machupo mammarenavirus,Complete,Calomys 221600,Not Applicable,NA,Not Applicable,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genotype:Not Applicable,NA,NA,NA,NA,2017-03-25T00:00:00Z,NA,NA,PRJNA257008,SAMN04363493,NA,NA,KU978783,MRIGlobal,NA,Illumina HiSeq1500,7378.41x,Trimmomatic v. 0.32; SGA v. 0.10.13;,NA,NA,1,3473,43.276707,1,3473,NA,NA,NA,2,NA,NA,NA,NA,NA,Rodent,NA,1965-01-01,1965,NA,Bolivia,South America,Bolivia,NA,Calomys callosus,Large vesper mouse ,NA,NA,Bolivian hemorrhagic fever,Nonhuman Mammal,NA,"SHB+1, V+3",NA,lab_host:Vero cells,"The purpose of this BioProject is to prepare high quality genome sequences of various human, animal, and plant pathogens that will support microbial forensics, biosurveillance and public health",2021-01-23T19:57:26.613Z,2021-01-23T19:57:26.613Z
11628.36,Machupo mammarenavirus Calomys 221600,NA,11628,10239;2559587;2732396;2497569;2497571;2497576;1980410;11617;1653394;11628,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Arenaviridae;Mammarenavirus;Machupo mammarenavirus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus,Machupo mammarenavirus,Complete,Calomys 221600,Not Applicable,NA,Not Applicable,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genotype:Not Applicable,NA,NA,NA,NA,2017-03-25T00:00:00Z,NA,NA,PRJNA257008,SAMN04363493,NA,NA,KU978786,MRIGlobal,NA,Illumina HiSeq1500,7378.41x,Trimmomatic v. 0.32; SGA v. 0.10.13;,NA,NA,1,7143,40.97718,1,7143,NA,NA,NA,2,NA,NA,NA,NA,NA,Rodent,NA,1965-01-01,1965,NA,Bolivia,South America,Bolivia,NA,Calomys callosus,Large vesper mouse ,NA,NA,Bolivian hemorrhagic fever,Nonhuman Mammal,NA,"SHB+1, V+3",NA,lab_host:Vero cells,"The purpose of this BioProject is to prepare high quality genome sequences of various human, animal, and plant pathogens that will support microbial forensics, biosurveillance and public health",2021-01-23T19:57:26.136Z,2021-01-23T19:57:26.136Z
12118.3223,Foot-and-mouth disease virus - type O O/BOL/17/1990,NA,12118,10239;2559587;2732396;2732408;2732506;464095;12058;2946627;12109;12110;12118,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Caphthovirinae;Aphthovirus;Foot-and-mouth disease virus;Foot-and-mouth disease virus O,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Aphthovirus,Foot-and-mouth disease virus,Partial,O/BOL/17/1990,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-08-02T00:00:00Z,27448206,NA,NA,NA,NA,NA,KJ831663,NA,NA,Sanger dideoxy sequencing,NA,DNA Star Lasergene v. 11,NA,NA,1,2202,55.1317,1,2202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,NA,Bolivia,South America,Bolivia,NA,Bovine,Cow,NA,NA,NA,Nonhuman Mammal,NA,NA,NA,NA,NA,2021-01-15T01:49:31.625Z,2021-01-15T01:49:31.625Z
11628.4,Machupo mammarenavirus Calomys 9301012,NA,11628,10239;2559587;2732396;2497569;2497571;2497576;1980410;11617;1653394;11628,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Arenaviridae;Mammarenavirus;Machupo mammarenavirus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus,Machupo mammarenavirus,Complete,Calomys 9301012,Not Applicable,NA,Not Applicable,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genotype:Not Applicable,NA,NA,NA,NA,2017-03-25T00:00:00Z,NA,NA,PRJNA257008,SAMN04363497,NA,NA,KU978790,MRIGlobal,NA,Illumina HiSeq1500,2790.82x,Trimmomatic v. 0.32; SGA v. 0.10.13;,NA,NA,1,7122,40.353832,1,7122,NA,NA,NA,2,NA,NA,NA,NA,NA,Rodent,NA,1993-01-01,1993,NA,Bolivia,South America,Bolivia,NA,Calomys callosus,Large vesper mouse ,NA,NA,Bolivian hemorrhagic fever,Nonhuman Mammal,NA,V+3,NA,lab_host:Vero cells,"The purpose of this BioProject is to prepare high quality genome sequences of various human, animal, and plant pathogens that will support microbial forensics, biosurveillance and public health",2021-01-23T19:57:27.692Z,2021-01-23T19:57:27.692Z
11628.47,Machupo mammarenavirus Calomys 9301012,NA,11628,10239;2559587;2732396;2497569;2497571;2497576;1980410;11617;1653394;11628,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Arenaviridae;Mammarenavirus;Machupo mammarenavirus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus,Machupo mammarenavirus,Complete,Calomys 9301012,Not Applicable,NA,Not Applicable,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genotype:Not Applicable,NA,NA,NA,NA,2017-03-25T00:00:00Z,NA,NA,PRJNA257008,SAMN04363497,NA,NA,KU978797,MRIGlobal,NA,Illumina HiSeq1500,2790.82x,Trimmomatic v. 0.32; SGA v. 0.10.13;,NA,NA,1,3417,43.42991,1,3417,NA,NA,NA,2,NA,NA,NA,NA,NA,Rodent,NA,1993-01-01,1993,NA,Bolivia,South America,Bolivia,NA,Calomys callosus,Large vesper mouse ,NA,NA,Bolivian hemorrhagic fever,Nonhuman Mammal,NA,V+3,NA,lab_host:Vero cells,"The purpose of this BioProject is to prepare high quality genome sequences of various human, animal, and plant pathogens that will support microbial forensics, biosurveillance and public health",2021-01-23T19:57:30.241Z,2021-01-23T19:57:30.241Z
11628.35,Machupo mammarenavirus 930060_Chicava,NA,11628,10239;2559587;2732396;2497569;2497571;2497576;1980410;11617;1653394;11628,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Arenaviridae;Mammarenavirus;Machupo mammarenavirus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus,Machupo mammarenavirus,Complete,930060_Chicava,,NA,,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,2017-03-25T00:00:00Z,NA,NA,PRJNA257008,SAMN03381381,NA,NA,KU978785,MRIGlobal,NA,Illumina Hiseq1500,7532.51x,Trimmomatic v. 0.32; SGA v. 0.10.13;,NA,NA,1,7142,40.394848,1,7142,NA,NA,NA,2,NA,NA,NA,NA,NA,Serum,NA,1993-02-17,1993,NA,Bolivia,South America,"Bolivia:Beni,Mamore,Estancia Bolpebra",NA,Homo sapiens,Human,NA,NA,Bolivian Hemorrhagic Fever,Human,NA,V+2,NA,lab_host:Vero cells,"The purpose of this BioProject is to prepare high quality genome sequences of various human, animal, and plant pathogens that will support microbial forensics, biosurveillance and public health",2021-01-23T19:57:26.245Z,2021-01-23T19:57:26.245Z
11628.43,Machupo mammarenavirus 930060_Chicava,NA,11628,10239;2559587;2732396;2497569;2497571;2497576;1980410;11617;1653394;11628,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Arenaviridae;Mammarenavirus;Machupo mammarenavirus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus,Machupo mammarenavirus,Complete,930060_Chicava,,NA,,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,2017-03-25T00:00:00Z,NA,NA,PRJNA257008,SAMN03381381,NA,NA,KU978793,MRIGlobal,NA,Illumina Hiseq1500,7532.51x,Trimmomatic v. 0.32; SGA v. 0.10.13;,NA,NA,1,3467,43.26507,1,3467,NA,NA,NA,2,NA,NA,NA,NA,NA,Serum,NA,1993-02-17,1993,NA,Bolivia,South America,"Bolivia:Beni,Mamore,Estancia Bolpebra",NA,Homo sapiens,Human,NA,NA,Bolivian Hemorrhagic Fever,Human,NA,V+2,NA,lab_host:Vero cells,"The purpose of this BioProject is to prepare high quality genome sequences of various human, animal, and plant pathogens that will support microbial forensics, biosurveillance and public health",2021-01-23T19:57:28.680Z,2021-01-23T19:57:28.680Z
11628.37,Machupo mammarenavirus 9430069,NA,11628,10239;2559587;2732396;2497569;2497571;2497576;1980410;11617;1653394;11628,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Arenaviridae;Mammarenavirus;Machupo mammarenavirus,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus,Machupo mammarenavirus,Complete,9430069,Not Applicable,NA,Not Applicable,NA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,genotype:Not Applicable,NA,NA,NA,NA,2017-03-25T00:00:00Z,NA,NA,PRJNA257008,SAMN04363494,NA,NA,KU978787,MRIGlobal,NA,Illumina HiSeq1500,3004.96x,Trimmomatic v. 0.32; SGA v. 0.10.13;,NA,NA,1,7155,40.587,1,7155,NA,NA,NA,2,NA,NA,NA,NA,NA,human,NA,1994-01-01,1994,NA,Bolivia,South America,Bolivia,NA,Homo sapiens,Human,NA,NA,Bolivian hemorrhagic fever,Human,NA,V+4,NA,lab_host:Vero cells,"The purpose of this BioProject is to prepare high quality genome sequences of various human, animal, and plant pathogens that will support microbial forensics, biosurveillance and public health",2021-01-23T19:57:26.561Z,2021-01-23T19:57:26.561Z
